,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
12,13,Jimmy Butler,21.38,892.0,6-7,220.0,Marquette,USA,2011.0,1,30,200.66,795.0,5.40%,9.0,9.0,8' 5.5'',6' 7.5''
13,14,Tim Duncan,21.32,208.0,6-11,255.0,Wake Forest,US Virgin Isl...,1997.0,1,1,210.82,,,,,,
14,15,Andre Drummond,20.78,979.0,6-11,279.0,Connecticut,USA,2012.0,1,9,210.82,856.0,7.50%,9.5,9.5,9' 1.5'',7' 6.25''
15,16,Kawhi Leonard,20.34,875.0,6-7,225.0,San Diego State,USA,2011.0,1,15,200.66,816.0,5.40%,9.75,11.25,8' 10'',7' 3''
16,17,Al Horford,20.22,690.0,6-10,250.0,Florida,Dominican Rep...,2007.0,1,3,208.28,566.0,9.10%,-,-,8' 11'',7' 0.75''
17,18,Damian Lillard,20.2,975.0,6-3,195.0,Weber State,USA,2012.0,1,6,190.5,878.0,5.90%,8.75,9.75,7' 11.5'',6' 7.75''
18,19,Tyson Chandler,20.19,382.0,7-1,240.0,None,USA,2001.0,1,2,215.9,79.0,6.70%,-,-,9' 2'',7' 3''
19,20,Paul Millsap,19.93,655.0,6-8,253.0,Louisiana Tech,USA,2006.0,2,47,203.2,508.0,9.70%,-,-,8' 9.5'',7' 1.5''
20,21,Kevin Love,19.7,758.0,6-10,260.0,UCLA,USA,2008.0,1,5,208.28,664.0,12.90%,-,-,8' 10'',6' 11.25''
21,22,Kyrie Irving,19.68,869.0,6-3,191.0,Duke,Australia,2011.0,1,1,190.5,808.0,10.20%,8.25,9.25,8' 3'',6' 4''
22,23,Zach Randolph,19.41,381.0,6-9,260.0,Michigan State,USA,2001.0,1,19,205.74,,,,,,
23,24,Derrick Favors,19.22,840.0,6-10,248.0,Georgia Tech,USA,2010.0,1,3,208.28,755.0,6.50%,8.75,9.25,9' 2'',7' 4''
24,25,Brook Lopez,19.13,718.0,7-0,265.0,Stanford,USA,2008.0,1,10,213.36,663.0,6.30%,-,-,9' 5'',7' 5.5''
25,26,Draymond Green,19.05,952.0,6-7,230.0,Michigan State,USA,2012.0,2,35,200.66,861.0,11.30%,9.0,9.5,8' 9'',7' 1.25''
26,27,Eric Bledsoe,18.83,827.0,6-1,195.0,Kentucky,USA,2010.0,1,18,185.42,745.0,5.60%,8.5,9.75,8' 2'',6' 7.5''
27,28,Ty Lawson,18.57,777.0,5-11,195.0,North Carolina,USA,2009.0,1,18,180.34,724.0,6.60%,-,-,7' 10.5'',6' 0.75''
28,29,Kyle Lowry,18.41,632.0,6-0,205.0,Villanova,USA,2006.0,1,24,182.88,,,,,,
29,30,Gordon Hayward,18.3,868.0,6-8,210.0,Butler,USA,2010.0,1,9,203.2,761.0,6.90%,8.5,9.25,8' 7'',6' 7.75''
30,31,Marcin Gortat,18.27,609.0,6-11,240.0,None,Poland,2005.0,2,57,210.82,412.0,-%,-,-,9' 2'',7' 3.5''
31,32,Klay Thompson,17.68,871.0,6-7,205.0,Washington State,USA,2011.0,1,11,200.66,839.0,8.00%,8.75,9.25,8' 7.5'',6' 9''
32,33,Rudy Gobert,17.56,999.0,7-1,245.0,None,France,2013.0,1,27,215.9,926.0,4.40%,9.75,10.0,9' 7'',7' 8.5''
33,34,Tyreke Evans,17.49,800.0,6-6,220.0,Memphis,USA,2009.0,1,4,198.12,711.0,7.10%,-,-,8' 8'',6' 11.25''
34,35,Enes Kanter,17.49,891.0,6-11,267.0,,Turkey,2011.0,1,3,210.82,813.0,5.90%,9.5,10.75,9' 1.5'',7' 1.5''
35,36,Jeff Teague,17.45,778.0,6-2,181.0,Wake Forest,USA,2009.0,1,19,187.96,735.0,4.50%,-,-,8' 2.5'',6' 7.5''
36,37,Dirk Nowitzki,17.44,281.0,7-0,245.0,None,Germany,1998.0,1,9,213.36,,,,,,
37,38,Jonas Valanciunas,17.13,913.0,7-0,255.0,None,Lithuania,2011.0,1,5,213.36,,,,,,
38,39,Gorgui Dieng,16.85,993.0,6-11,251.0,Louisville,Senegal,2013.0,1,21,210.82,922.0,5.35%,9.0,10.0,9' 3.5'',7' 3.5''
39,40,Joakim Noah,16.72,716.0,6-11,232.0,Florida,USA,2007.0,1,9,210.82,588.0,4.80%,-,-,8' 10.5'',7' 1.25''
40,41,Kenneth Faried,16.69,883.0,6-8,228.0,Morehead State,USA,2011.0,1,22,203.2,800.0,6.30%,8.5,10.25,9' 0'',7' 0''
41,42,Goran Dragic,16.23,755.0,6-3,190.0,None,Slovenia,2008.0,2,45,190.5,,,,,,
42,43,Victor Oladipo,16.01,991.0,6-4,210.0,Indiana,USA,2013.0,1,2,193.04,951.0,6.55%,8.75,9.25,8' 4.5'',6' 9.25''
43,44,Markieff Morris,15.65,873.0,6-10,245.0,Kansas,USA,2011.0,1,13,208.28,824.0,10.20%,8.5,8.25,8' 10.5'',6' 10.75''
44,45,Nerlens Noel,15.61,1027.0,6-11,220.0,Kentucky,USA,2013.0,1,6,210.82,950.0,4.15%,9.5,10.0,9' 2'',7' 3.75''
45,46,Mike Conley,15.6,699.0,6-1,185.0,Ohio State,USA,2007.0,1,4,185.42,549.0,4.20%,-,-,7' 10.5'',6' 5.75''
46,47,Giannis Antetokounmpo,15.56,986.0,6-11,222.0,None,Greece,2013.0,1,15,210.82,,,,,,
47,48,Reggie Jackson,15.45,885.0,6-3,208.0,Boston College,USA,2011.0,1,24,190.5,,,,,,
48,49,Monta Ellis,15.12,593.0,6-3,185.0,None,USA,2005.0,2,40,190.5,402.0,-%,-,-,8' 2'',6' 2.75''
49,50,Michael Carter-Williams,15.01,982.0,6-6,190.0,Syracuse,USA,2013.0,1,11,198.12,915.0,4.40%,7.5,8.5,8' 5'',6' 7.25''
50,51,DeMarre Carroll,15.0,787.0,6-8,212.0,Missouri,USA,2009.0,1,27,203.2,700.0,6.30%,-,-,8' 9'',6' 10''
51,52,Andrew Bogut,14.79,561.0,7-0,260.0,Utah,Australia,2005.0,1,1,213.36,393.0,-%,-,-,9' 2.5'',7' 3''
52,53,Trevor Ariza,14.75,549.0,6-8,210.0,UCLA,USA,2004.0,2,43,203.2,304.0,8.00%,-,-,8' 11.5'',7' 2''
53,54,Joe Johnson,14.69,372.0,6-7,240.0,Arkansas,USA,2001.0,1,10,200.66,111.0,6.70%,-,-,8' 9'',6' 9''
54,55,Nicolas Batum,14.66,734.0,6-8,200.0,None,France,2008.0,1,25,203.2,,,,,,
55,56,Ed Davis,14.62,822.0,6-10,232.0,North Carolina,USA,2010.0,1,13,208.28,753.0,10.00%,9.25,10.0,9' 0'',7' 0''
56,57,Jordan Hill,14.51,816.0,6-10,235.0,Arizona,USA,2009.0,1,8,208.28,720.0,6.00%,-,-,9' 0'',7' 1.5''
57,58,Deron Williams,14.5,582.0,6-3,209.0,Illinois,USA,2005.0,1,3,190.5,461.0,-%,-,-,8' 2'',6' 6.25''
58,59,Rajon Rondo,14.34,629.0,6-1,186.0,Kentucky,USA,2006.0,1,21,185.42,,,,,,
59,60,Bradley Beal,14.34,946.0,6-5,207.0,Florida,USA,2012.0,1,3,195.58,849.0,6.00%,8.5,9.0,8' 4'',6' 8''
60,61,Thaddeus Young,14.28,671.0,6-8,220.0,Georgia Tech,USA,2007.0,1,12,203.2,616.0,4.90%,-,-,8' 10'',6' 11.5''
61,62,Isaiah Thomas,14.24,919.0,5-9,185.0,Washington,USA,2011.0,2,60,175.26,837.0,6.70%,8.25,9.0,7' 7.5'',6' 1.75''
62,63,Kyle Korver,14.24,508.0,6-7,212.0,Creighton,USA,2003.0,2,51,200.66,271.0,6.70%,-,-,8' 6.5'',6' 9.5''
63,64,Luol Deng,14.21,558.0,6-9,220.0,Duke,United Kingdo...,2004.0,1,7,205.74,319.0,6.70%,-,-,9' 0.5'',7' 0.5''
64,65,Khris Middleton,14.08,956.0,6-8,234.0,Texas A&M,USA,2012.0,2,39,203.2,882.0,7.80%,9.0,9.0,8' 7'',6' 10.75''
65,66,Timofey Mozgov,14.05,1903.0,7-1,250.0,None,Russia,0.0,Undrafted,Undrafted,215.9,,,,,,
66,67,Tristan Thompson,14.03,902.0,6-9,227.0,Texas,Canada,2011.0,1,4,205.74,840.0,6.20%,8.75,9.25,9' 0.5'',7' 1.25''
67,68,Andrew Wiggins,13.88,1031.0,6-8,202.0,Kansas,Canada,2014.0,1,1,203.2,,,,,,
68,69,Wilson Chandler,13.87,683.0,6-8,225.0,DePaul,USA,2007.0,1,23,203.2,,,,,,
69,70,Omer Asik,13.8,746.0,7-0,255.0,None,Turkey,2008.0,2,36,213.36,,,,,,
70,71,Roy Hibbert,13.59,725.0,7-2,260.0,Georgetown,USA,2008.0,1,17,218.44,,,,,,
71,72,Donatas Motiejunas,13.52,881.0,7-0,222.0,None,Lithuania,2011.0,1,20,213.36,,,,,,
72,73,Josh Smith,13.38,523.0,6-9,225.0,None,USA,2004.0,1,17,205.74,369.0,6.70%,-,-,8' 10.5'',7' 0''
73,74,Carlos Boozer,13.32,446.0,6-9,266.0,Duke,USA,2002.0,2,34,205.74,150.0,-%,-,-,9' 0.5'',7' 2.25''
74,75,Danny Green,13.32,807.0,6-6,210.0,North Carolina,USA,2009.0,2,46,198.12,714.0,5.60%,-,-,8' 7'',6' 10''
75,76,Evan Turner,13.29,829.0,6-7,205.0,Ohio State,USA,2010.0,1,2,200.66,784.0,8.60%,8.75,9.5,8' 7.5'',6' 8''
76,77,Amir Johnson,13.28,608.0,6-9,210.0,None,USA,2005.0,2,56,205.74,,,,,,
77,78,Tyler Zeller,13.15,932.0,7-0,250.0,North Carolina,USA,2012.0,1,17,213.36,906.0,6.40%,9.0,9.75,8' 8.5'',7' 0''
78,79,Elfrid Payton,13.04,1032.0,6-4,185.0,Louisana-Lafayette,USA,2014.0,1,10,193.04,1010.0,5.65%,8.75,9.0,8' 2.5'',6' 8''
79,80,Taj Gibson,13.0,786.0,6-9,225.0,USC,USA,2009.0,1,26,205.74,713.0,6.60%,-,-,9' 1'',7' 4''
80,81,J.J. Redick,12.83,,,,,,,,,,,,,,,
81,82,P.J. Tucker,12.78,644.0,6-6,245.0,Texas,USA,2006.0,2,35,198.12,,,,,,
82,83,Zaza Pachulia,12.62,501.0,6-11,275.0,None,Georgia,2003.0,2,42,210.82,,,,,,
83,84,Jarrett Jack,12.5,574.0,6-3,197.0,Georgia Tech,USA,2005.0,1,22,190.5,421.0,-%,-,-,8' 4'',6' 7.5''
84,85,Robert Covington,12.4,1802.0,6-9,225.0,Tennessee State,USA,0.0,Undrafted,Undrafted,205.74,,,,,,
85,86,Steven Adams,12.37,983.0,7-0,255.0,Pittsburgh,New Zealand,2013.0,1,12,213.36,907.0,6.65%,9.5,11.0,9' 1.5'',7' 4.5''
86,87,Harrison Barnes,12.36,977.0,6-8,225.0,North Carolina,USA,2012.0,1,7,203.2,847.0,9.60%,9.0,8.5,8' 5.5'',6' 11.25''
87,88,Tony Parker,12.35,391.0,6-2,185.0,None,France,2001.0,1,28,187.96,,,,,,
88,89,Jeff Green,12.34,707.0,6-9,235.0,Georgetown,USA,2007.0,1,5,205.74,561.0,3.70%,-,-,8' 7'',7' 1.25''
89,90,Paul Pierce,12.3,240.0,6-7,235.0,Kansas,USA,1998.0,1,10,200.66,,,,,,
90,91,Patrick Patterson,12.02,823.0,6-9,235.0,Kentucky,USA,2010.0,1,14,205.74,775.0,5.30%,9.25,10.25,8' 11'',7' 1.25''
91,92,Rodney Stuckey,11.97,674.0,6-5,205.0,Eastern Washington,USA,2007.0,1,15,195.58,600.0,6.10%,-,-,8' 4.5'',6' 7.25''
92,93,Jeremy Lin,11.93,1874.0,6-3,200.0,Harvard,USA,0.0,Undrafted,Undrafted,190.5,,,,,,
93,94,Luis Scola,11.79,461.0,6-9,245.0,None,Argentina,2002.0,2,55,205.74,,,,,,
94,95,J.R. Smith,11.7,,,,,,,,,,,,,,,
95,96, Nene,11.68,,,,,,,,,,,,,,,
96,97,Louis Williams,11.6,,,,,,,,,,,,,,,
97,98,Brandon Bass,11.58,586.0,6-8,250.0,Louisiana State,USA,2005.0,2,33,203.2,,,,,,
98,99,Brandan Wright,11.36,715.0,6-10,210.0,North Carolina,USA,2007.0,1,8,208.28,612.0,5.80%,-,-,9' 0.5'',7' 3.75''
99,100,Chris Kaman,11.35,511.0,7-0,265.0,Central Michigan,USA,2003.0,1,6,213.36,266.0,16.30%,-,-,9' 2.5'',6' 11.75''
