,PLAYER,PER,RK,Height_cm,Weight
189,Sarunas Jasikevicius,12.88,187.0,193.04,197.0
190,Dikembe Mutombo,12.77,188.0,218.44,265.0
191,JR Smith,12.77,,198.12,220.0
192,Robert Swift,12.75,190.0,213.36,245.0
193,Michael Finley,12.73,191.0,200.66,225.0
194,P.J. Brown,12.72,192.0,210.82,239.0
195,Nate Robinson,12.67,193.0,175.26,180.0
196,Rafer Alston,12.65,194.0,187.96,170.0
197,Rashad McCants,12.61,195.0,193.04,207.0
198,Marc Jackson,12.61,,208.28,253.0
199,Keyon Dooling,12.58,197.0,190.5,195.0
200,Reggie Evans,12.56,198.0,203.2,245.0
201,Salim Stoudamire,12.54,199.0,185.42000000000002,179.0
202,Juwan Howard,12.52,200.0,205.74,230.0
203,Darius Miles,12.52,201.0,205.74,210.0
204,Mike Dunleavy,12.51,202.0,205.74,230.0
205,Scott Padgett,12.5,203.0,205.74,240.0
206,Deron Williams,12.42,204.0,190.5,210.0
207,Qyntel Woods,12.4,205.0,203.2,220.0
208,Troy Hudson,12.38,206.0,185.42000000000002,170.0
209,Jarrett Jack,12.37,207.0,190.5,202.0
210,Alan Henderson,12.32,208.0,205.74,240.0
211,Scot Pollard,12.32,,210.82,265.0
212,Kyle Korver,12.3,210.0,198.12,211.0
213,Eddie Griffin,12.25,211.0,208.28,240.0
214,Marvin Williams,12.24,212.0,205.74,230.0
215,Theo Ratliff,12.23,213.0,208.28,235.0
216,Tyson Chandler,12.23,,215.9,235.0
217,Tim Thomas,12.23,,208.28,240.0
218,Tony Battie,12.21,216.0,210.82,240.0
219,Lorenzen Wright,12.19,217.0,210.82,240.0
220,Jarvis Hayes,12.19,,203.2,220.0
221,Jumaine Jones,12.17,219.0,203.2,218.0
222,Jamaal Tinsley,12.16,220.0,190.5,185.0
223,Mark Blount,12.12,221.0,213.36,250.0
224,Bernard Robinson,12.06,222.0,198.12,210.0
225,Raef LaFrentz,12.03,223.0,210.82,245.0
226,David Harrison,11.89,224.0,213.36,280.0
227,Toni Kukoc,11.88,225.0,210.82,235.0
228,Trevor Ariza,11.83,226.0,203.2,210.0
229,DerMarr Johnson,11.77,227.0,205.74,210.0
230,Kwame Brown,11.77,,210.82,248.0
231,Martell Webster,11.75,229.0,200.66,210.0
232,Marko Jaric,11.7,230.0,200.66,217.0
233,Greg Ostertag,11.64,231.0,218.44,280.0
234,Luke Walton,11.63,232.0,203.2,232.0
235,Jared Jeffries,11.62,233.0,210.82,240.0
236,Aaron Williams,11.6,234.0,205.74,235.0
237,Victor Khryapa,11.6,,205.74,
238,Adrian Griffin,11.59,236.0,195.58,230.0
239,DeSagana Diop,11.57,237.0,213.36,280.0
240,Ronald Murray,11.57,,190.5,
241,Malik Allen,11.55,239.0,208.28,255.0
242,Greg Buckner,11.45,240.0,193.04,205.0
243,Jose Calderon,11.44,241.0,190.5,210.0
244,Devean George,11.4,242.0,203.2,235.0
245,Luther Head,11.24,243.0,190.5,185.0
246,Jamaal Magloire,11.16,244.0,210.82,259.0
247,Monta Ellis,11.13,245.0,190.5,177.0
248,Othella Harrington,11.09,246.0,205.74,235.0
249,Jake Voskuhl,11.07,247.0,210.82,255.0
250,Hakim Warrick,11.04,248.0,205.74,219.0
251,Fred Jones,11.02,249.0,187.96,220.0
252,Jarron Collins,11.0,250.0,210.82,255.0
253,Nick Van Exel,10.97,251.0,185.42000000000002,190.0
254,Rasho Nesterovic,10.97,,213.36,255.0
255,Eduardo Najera,10.96,253.0,203.2,220.0
256,DeShawn Stevenson,10.93,254.0,195.58,210.0
257,Rasual Butler,10.83,255.0,200.66,205.0
258,Derek Anderson,10.82,256.0,195.58,195.0
259,Lamond Murray,10.79,257.0,200.66,235.0
260,Gary Payton,10.78,258.0,193.04,190.0
261,John Salmons,10.7,259.0,198.12,207.0
262,Matt Barnes,10.7,,200.66,225.0
263,Keith Bogans,10.69,261.0,195.58,215.0
264,Carlos Delfino,10.64,262.0,198.12,230.0
265,Anthony Carter,10.58,263.0,187.96,195.0
266,Brian Skinner,10.5,264.0,205.74,265.0
267,Alan Anderson,10.44,265.0,198.12,220.0
268,Johan Petro,10.44,,213.36,247.0
269,Francisco Garcia,10.37,267.0,200.66,195.0
270,Adonal Foyle,10.37,,208.28,270.0
271,Devin Brown,10.34,269.0,195.58,220.0
272,Kris Humphries,10.31,270.0,205.74,235.0
273,Malik Rose,10.28,271.0,200.66,255.0
274,Joey Graham,10.26,272.0,200.66,225.0
275,Shaun Livingston,10.26,,200.66,182.0
276,Francisco Elson,10.1,274.0,213.36,235.0
277,Linton Johnson,10.07,275.0,203.2,225.0
278,Mickael Pietrus,10.01,276.0,198.12,215.0
279,Jannero Pargo,9.98,277.0,185.42000000000002,175.0
280,Milt Palacio,9.98,,193.04,210.0
281,Zarko Cabarkapa,9.93,279.0,210.82,230.0
282,Zarko Cabarkapa,9.93,279.0,210.82,230.0
283,James Posey,9.9,280.0,203.2,217.0
284,Jiri Welsch,9.84,281.0,200.66,208.0
285,Kareem Rush,9.78,282.0,198.12,215.0
286,Clifford Robinson,9.61,283.0,208.28,240.0
287,Quentin Richardson,9.61,,198.12,230.0
288,David Wesley,9.61,,185.42000000000002,203.0
289,Trenton Hassell,9.56,286.0,195.58,200.0
290,Pape Sow,9.55,287.0,208.28,250.0
291,Damon Jones,9.3,288.0,190.5,190.0
292,Desmond Mason,9.26,289.0,195.58,222.0
293,Bruce Bowen,9.16,290.0,200.66,200.0
294,Pat Garrity,9.05,291.0,205.74,238.0
295,Jason Kapono,8.99,292.0,203.2,215.0
296,Gordan Giricek,8.77,293.0,195.58,210.0
297,Keith McLeod,8.69,294.0,187.96,190.0
298,Mikki Moore,8.63,295.0,213.36,223.0
299,Maurice Taylor,8.58,296.0,205.74,265.0
300,Royal Ivey,8.48,297.0,190.5,200.0
301,Sasha Vujacic,8.36,298.0,200.66,195.0
302,Michael Olowokandi,8.34,299.0,213.36,270.0
303,Antonio Davis,8.29,300.0,205.74,245.0
304,Eric Snow,8.08,301.0,190.5,205.0
305,Michael Ruffin,8.08,,203.2,248.0
306,Dahntay Jones,8.01,303.0,198.12,210.0
307,Justin Reed,7.88,304.0,203.2,240.0
308,Kevin Ollie,7.83,305.0,187.96,195.0
309,Daniel Ewing,7.62,306.0,190.5,185.0
310,Jacque Vaughn,7.57,307.0,185.42000000000002,190.0
311,Quinton Ross,7.36,308.0,198.12,193.0
312,Darrel Armstrong,7.34,309.0,180.34,
313,Bostjan Nachbar,7.19,310.0,205.74,221.0
314,Jason Hart,7.1,311.0,190.5,185.0
315,Sasha Pavlovic,6.9,312.0,200.66,210.0
316,Zoran Planinic,6.89,313.0,200.66,200.0
317,Zoran Planinic,6.89,313.0,200.66,200.0
318,Orien Greene,6.41,314.0,193.04,208.0
319,Shandon Anderson,6.22,315.0,198.12,215.0
320,Brian Scalabrine,5.88,316.0,205.74,235.0
321,Jason Collins,5.49,317.0,213.36,255.0
322,Mark Madsen,5.26,318.0,205.74,236.0
323,Antonio Burks,5.07,319.0,182.88,195.0
324,Rafael Araujo,4.51,320.0,210.82,280.0
325,Ryan Bowen,3.97,321.0,205.74,220.0
326,Jim Jackson,3.01,322.0,198.12,220.0
