,Rank,Player,Efficiency,Unnamed: 0,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,Unnamed: 0.1,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
84,85,Spencer Hawes,14.01,669.0,7-1,245.0,Washington,USA,2007.0,1,10,215.9,563.0,13.00%,-,-,9' 2'',7' 0.5''
85,86,Randy Foye,14.0,665.0,6-4,213.0,Villanova,USA,2006.0,1,7,193.04,488.0,10.00%,-,-,8' 1'',6' 6.25''
86,87,Tyrus Thomas,13.93,649.0,6-10,225.0,Louisiana State,,2006.0,1,4,208.28,530.0,5.60%,-,-,9' 0'',7' 3''
87,88,Eric Gordon,13.79,765.0,6-3,215.0,Indiana,USA,2008.0,1,7,190.5,643.0,8.20%,-,-,8' 3'',6' 9''
88,89,Ronnie Brewer,13.79,621.0,6-7,227.0,Arkansas,USA,2006.0,1,14,200.66,477.0,5.00%,-,-,8' 7.5'',6' 11.25''
89,90,Andrei Kirilenko,13.71,296.0,6-9,210.0,None,Russia,1999.0,1,24,205.74,,,,,,
90,91,Jason Thompson,13.69,720.0,6-11,250.0,Rider University,USA,2008.0,1,12,210.82,,,,,,
91,92,J.R. Smith,13.52,,,,,,,,,,,,,,,
92,93,Jarrett Jack,13.45,574.0,6-3,197.0,Georgia Tech,USA,2005.0,1,22,190.5,421.0,-%,-,-,8' 4'',6' 7.5''
93,94,Rodney Stuckey,13.4,674.0,6-5,205.0,Eastern Washington,USA,2007.0,1,15,195.58,600.0,6.10%,-,-,8' 4.5'',6' 7.25''
94,95,Delonte West,13.31,531.0,6-3,180.0,None,,2004.0,1,24,190.5,379.0,6.70%,-,-,8' 3.5'',6' 6''
95,96,Joel Przybilla,13.24,370.0,7-1,245.0,Minnesota,USA,2000.0,1,9,215.9,,,,,,
96,97,Anderson Varejao,13.2,538.0,6-11,260.0,None,Brazil,2004.0,2,30,210.82,,,,,,
97,98,Nick Collison,13.11,471.0,6-10,255.0,Kansas,USA,2003.0,1,12,208.28,237.0,17.00%,-,-,9' 0'',7' 1.5''
98,99,Leandro Barbosa,13.09,488.0,6-3,194.0,None,Brazil,2003.0,1,28,190.5,,,,,,
99,100,Samuel Dalembert,12.88,389.0,6-11,250.0,Seton Hall,Haiti,2001.0,1,26,210.82,,,,,,
