Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Gordon Hayward,UTA,23,6-8,210,Butler,USA,2010,1,9,72,14.1,3.1,3.0,2.5,2.5%,8.7%,21.1%,56.4%,16.3%
Grant Hill,LAC,40,6-8,225,Duke,USA,1994,1,3,29,3.2,1.7,0.9,-0.2,1.4%,9.5%,13.8%,42.8%,9.0%
Greg Monroe,DET,23,6-11,250,Georgetown,USA,2010,1,7,81,16.0,9.6,3.5,-5.2,8.9%,21.2%,24.4%,52.7%,18.9%
Greg Smith,HOU,22,6-10,250,Fresno State,USA,Undrafted,Undrafted,Undrafted,70,6.0,4.6,0.4,5.5,9.9%,18.0%,14.4%,63.6%,3.6%
Greg Stiemsma,MIN,27,6-11,260,Wisconsin,USA,Undrafted,Undrafted,Undrafted,76,4.0,3.4,0.4,-3.4,5.0%,17.6%,13.6%,49.8%,4.0%
Greivis Vasquez,NOH,26,6-6,211,Maryland,Venezuela,2010,1,28,78,13.9,4.3,9.0,-3.0,1.7%,11.9%,22.7%,50.2%,43.2%
Gustavo Ayon,MIL,28,6-10,250,None,Mexico,Undrafted,Undrafted,Undrafted,55,3.7,3.6,1.3,0.1,8.5%,18.5%,14.1%,54.0%,14.2%
Hakim Warrick,CHA,30,6-9,219,Syracuse,USA,2005,1,19,28,6.9,3.2,0.9,-12.2,4.2%,14.1%,21.5%,47.6%,9.1%
Hamed Haddadi,PHX,28,7-2,265,None,Iran,Undrafted,Undrafted,Undrafted,30,2.8,3.7,0.4,-0.1,12.2%,20.3%,16.4%,44.7%,5.8%
Harrison Barnes,GSW,21,6-8,210,North Carolina,USA,2012,1,7,81,9.2,4.1,1.2,2.0,2.6%,12.9%,17.4%,52.6%,7.2%
Hasheem Thabeet,OKC,26,7-3,263,Connecticut,Tanzania,2009,1,2,66,2.4,3.0,0.2,9.9,10.0%,15.6%,9.8%,61.9%,2.1%
Hedo Turkoglu,ORL,34,6-10,220,None,Turkey,2000,1,16,11,2.9,2.4,2.1,-23.2,2.1%,11.6%,16.7%,28.8%,20.0%
Henry Sims,NOH,23,6-10,245,Georgetown,USA,Undrafted,Undrafted,Undrafted,2,2.0,1.0,0.0,21.1,33.3%,0.0%,36.4%,66.7%,0.0%
Ian Mahinmi,IND,26,6-11,230,None,France,2005,1,28,80,5.0,3.9,0.3,-5.3,8.6%,15.1%,17.2%,49.7%,3.8%
Iman Shumpert,NYK,23,6-5,220,Georgia Tech,USA,2011,1,17,45,6.8,3.0,1.7,0.6,3.2%,11.3%,15.5%,51.6%,12.0%
