Player,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm
Carlos Rogers,6-11,232.0,Tennessee State,USA,1994,1,11,210.82
Jalen Rose,6-8,217.0,Michigan,USA,1994,1,13,203.2
Eric Piatkowski,6-6,215.0,Nebraska,USA,1994,1,15,198.12
Aaron McKie,6-5,209.0,Temple,USA,1994,1,17,195.58
Jason Kidd,6-4,210,California,USA,1994,1,2,193.04
Wesley Person,6-6,200.0,Auburn,USA,1994,1,23,198.12
Monty Williams,6-8,225.0,Notre Dame,USA,1994,1,24,203.2
Charlie Ward,6-2,185.0,Florida State,USA,1994,1,26,187.96
Grant Hill,6-8,225,Duke,USA,1994,1,3,203.2
Howard Eisley,6-2,180.0,Boston College,USA,1994,2,30,187.96
Michael Smith,6-8,240.0,Shaw,USA,1994,2,35,203.2
Anthony Miller,6-9,255.0,Michigan State,USA,1994,2,39,205.74
Donyell Marshall,6-9,230.0,Connecticut,USA,1994,1,4,205.74
Voshon Lenard,6-4,205.0,Minnesota,USA,1994,2,46,193.04
Juwan Howard,6-9,250,Michigan,USA,1994,1,5,205.74
Lawrence Funderburke,6-9,230.0,Ohio State,USA,1994,2,51,205.74
Anthony Goldwire,6-2,182.0,Houston,USA,1994,2,52,187.96
Zeljko Rebraca,7-0,257.0,None,Yugoslavia,1994,2,54,213.36
Lamond Murray,6-7,236.0,California,USA,1994,1,7,200.66
Brian Grant,6-9,254.0,Xavier,USA,1994,1,8,205.74
Eric Montross,7-0,270.0,North Carolina,USA,1994,1,9,213.36
Joe Smith,6-10,225.0,Maryland,USA,1995,1,1,208.28
Kurt Thomas,6-9,230,Texas Christian,USA,1995,1,10,205.74
Gary Trent,6-8,250.0,Ohio,USA,1995,1,11,203.2
Cherokee Parks,6-11,240.0,Duke,USA,1995,1,12,210.82
Corliss Williamson,6-7,245.0,Arkansas,USA,1995,1,13,200.66
Eric Williams,6-8,220.0,Providence,USA,1995,1,14,203.2
Brent Barry,6-6,203.0,Oregon State,USA,1995,1,15,198.12
Alan Henderson,6-9,240.0,Indiana,USA,1995,1,16,205.74
Bob Sura,6-5,200.0,Florida State,USA,1995,1,17,195.58
Theo Ratliff,6-10,230.0,Wyoming,USA,1995,1,18,208.28
Antonio McDyess,6-9,245.0,Alabama,USA,1995,1,2,205.74
Jason Caffey,6-8,256.0,Alabama,USA,1995,1,20,203.2
Michael Finley,6-7,215.0,Wisconsin,USA,1995,1,21,200.66
Travis Best,5-11,181.0,Georgia Tech,USA,1995,1,23,180.34
Greg Ostertag,7-2,280.0,Kansas,USA,1995,1,28,218.44
Cory Alexander,6-1,190.0,Virginia,USA,1995,1,29,185.42000000000002
Jerry Stackhouse,6-6,218,North Carolina,USA,1995,1,3,198.12
Dragan Tarlac,6-11,270.0,None,USA,1995,2,31,210.82
Andrew DeClercq,6-10,255.0,Florida,USA,1995,2,34,208.28
Donny Marshall,6-7,230.0,Connecticut,USA,1995,2,39,200.66
Rasheed Wallace,6-11,225.0,North Carolina,USA,1995,1,4,210.82
Eric Snow,6-3,204.0,Michigan State,USA,1995,2,43,190.5
Tyus Edney,5-10,166.0,California-Los Angeles,USA,1995,2,47,177.8
Kevin Garnett,6-11,253,None,USA,1995,1,5,210.82
Fred Hoiberg,6-5,210.0,Iowa State,USA,1995,2,52,195.58
Chris Carr,6-6,220.0,Southern Illinois,USA,1995,2,56,198.12
Don Reid,6-8,250.0,Georgetown,USA,1995,2,58,203.2
Bryant Reeves,7-0,290.0,Oklahoma State,USA,1995,1,6,213.36
Damon Stoudamire,5-10,171.0,Arizona,USA,1995,1,7,177.8
Allen Iverson,6-0,165.0,Georgetown,USA,1996,1,1,182.88
Erick Dampier,6-11,265,Mississippi State,USA,1996,1,10,210.82
Vitaly Potapenko,6-10,285.0,Wright State,Ukraine,1996,1,12,208.28
Kobe Bryant,6-6,205,None,USA,1996,1,13,198.12
Peja Stojakovic,6-9,229.0,None,Serbia and Mo...,1996,1,14,205.74
Steve Nash,6-3,178,Santa Clara,Canada,1996,1,15,190.5
Tony Delk,6-2,189.0,Kentucky,USA,1996,1,16,187.96
Jermaine O'Neal,6-11,255,None,USA,1996,1,17,210.82
John Wallace,6-9,225.0,Syracuse,USA,1996,1,18,205.74
Walter McCarty,6-10,230.0,Kentucky,USA,1996,1,19,208.28
Marcus Camby,6-11,235,Massachusetts,USA,1996,1,2,210.82
Zydrunas Ilgauskas,7-3,260.0,None,Lithuania,1996,1,20,220.98
Efthimios Rentzias,6-11,250.0,None,Greece,1996,1,23,210.82
Derek Fisher,6-1,210,Arkansas-Little Rock,USA,1996,1,24,185.42000000000002
Jerome Williams,6-9,206.0,Georgetown,USA,1996,1,26,205.74
Travis Knight,7-0,235.0,Connecticut,USA,1996,1,29,213.36
Shareef Abdur-Rahim,6-9,230.0,California,USA,1996,1,3,205.74
Othella Harrington,6-9,235.0,Georgetown,USA,1996,2,30,205.74
Moochie Norris,6-1,175.0,West Florida,USA,1996,2,33,185.42000000000002
Jeff McInnis,6-4,179.0,North Carolina,USA,1996,2,37,193.04
Stephon Marbury,6-2,180.0,Georgia Tech,USA,1996,1,4,187.96
Randy Livingston,6-4,209.0,Louisiana State,USA,1996,2,42,193.04
Malik Rose,6-7,255.0,Drexel,USA,1996,2,44,200.66
Amal McCaskill,6-11,245.0,Marquette,USA,1996,2,49,210.82
Ray Allen,6-5,205,Connecticut,USA,1996,1,5,195.58
Mark Pope,6-10,235.0,Kentucky,USA,1996,2,52,208.28
Shandon Anderson,6-6,210.0,Georgia,USA,1996,2,54,198.12
Antoine Walker,6-9,245.0,Kentucky,USA,1996,1,6,205.74
Lorenzen Wright,6-11,240.0,Memphis,USA,1996,1,7,210.82
Kerry Kittles,6-5,180.0,Villanova,USA,1996,1,8,195.58
Samaki Walker,6-9,260.0,Louisville,USA,1996,1,9,205.74
Tim Duncan,6-11,255,Wake Forest,US Virgin Isl...,1997,1,1,210.82
Danny Fortson,6-8,260.0,Cincinnati,USA,1997,1,10,203.2
Tariq Abdul-Wahad,6-6,223.0,San Jose State,France,1997,1,11,198.12
Austin Croshere,6-10,242.0,Providence,USA,1997,1,12,208.28
Derek Anderson,6-5,195.0,Kentucky,USA,1997,1,13,195.58
Maurice Taylor,6-9,260.0,Michigan,USA,1997,1,14,205.74
Kelvin Cato,6-11,255.0,Iowa State,USA,1997,1,15,210.82
Brevin Knight,5-10,170.0,Stanford,USA,1997,1,16,177.8
Scot Pollard,6-11,265.0,Kansas,USA,1997,1,19,210.82
Keith Van Horn,6-10,255.0,Utah,USA,1997,1,2,208.28
Paul Grant,7-0,245,Wisconsin,USA,1997,1,20,213.36
Anthony Parker,6-6,210,Bradley,USA,1997,1,21,198.12
Bobby Jackson,6-1,185.0,Minnesota,USA,1997,1,23,185.42000000000002
John Thomas,6-9,265,Minnesota,USA,1997,1,25,205.74
Charles Smith,6-4,194.0,New Mexico,USA,1997,1,26,193.04
Jacque Vaughn,6-1,190.0,Kansas,USA,1997,1,27,185.42000000000002
