Player,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm
Jeff Ayres,6-9,240,Arizona State,USA,2009,2,31,205.74
Jermaine Taylor,6-4,210,Central Florida,USA,2009,2,32,193.04
Dante Cunningham,6-8,230,Villanova,USA,2009,2,33,203.2
DaJuan Summers,6-8,240,Georgetown,USA,2009,2,35,203.2
Sam Young,6-6,220,Pittsburgh,USA,2009,2,36,198.12
DeJuan Blair,6-7,270,Pittsburgh,USA,2009,2,37,200.66
Jon Brockman,6-7,255,Washington,USA,2009,2,38,200.66
Jonas Jerebko,6-10,231,None,Sweden,2009,2,39,208.28
Tyreke Evans,6-6,220,Memphis,USA,2009,1,4,198.12
Derrick Brown,6-8,233,Xavier,USA,2009,2,40,203.2
Jodie Meeks,6-4,208,Kentucky,USA,2009,2,41,193.04
Patrick Beverley,6-1,185,None,USA,2009,2,42,185.42000000000002
Marcus Thornton,6-4,205,Louisiana State,USA,2009,2,43,193.04
Chase Budinger,6-7,218,Arizona,USA,2009,2,44,200.66
Nick Calathes,6-6,213,Florida,USA,2009,2,45,198.12
Danny Green,6-6,210,North Carolina,USA,2009,2,46,198.12
Taylor Griffin,6-7,238,Oklahoma,,2009,2,48,200.66
Ricky Rubio,6-4,180,None,Spain,2009,1,5,193.04
AJ Price,6-2,185,Connecticut,USA,2009,2,52,187.96
Nando De Colo,6-5,200,None,France,2009,2,53,195.58
Patty Mills,6-0,185,St. Mary's (CA),Australia,2009,2,55,182.88
Lester Hudson,6-3,190,Tennessee-Martin,USA,2009,2,58,190.5
Jonny Flynn,6-0,185,Syracuse,USA,2009,1,6,182.88
Stephen Curry,6-3,185,Davidson,USA,2009,1,7,190.5
Jordan Hill,6-10,235,Arizona,USA,2009,1,8,208.28
DeMar DeRozan,6-7,216,USC,USA,2009,1,9,200.66
John Wall,6-4,195,Kentucky,USA,2010,1,1,193.04
Paul George,6-8,215,Fresno State,USA,2010,1,10,203.2
Cole Aldrich,6-11,240,Kansas,USA,2010,1,11,210.82
Xavier Henry,6-6,220,Kansas,USA,2010,1,12,198.12
Ed Davis,6-10,232,North Carolina,USA,2010,1,13,208.28
Patrick Patterson,6-9,235,Kentucky,USA,2010,1,14,205.74
Larry Sanders,6-11,235,Va Commonwealth,USA,2010,1,15,210.82
Luke Babbitt,6-9,225,Nevada-Reno,USA,2010,1,16,205.74
Kevin Seraphin,6-9,275,None,France,2010,1,17,205.74
Eric Bledsoe,6-1,195,Kentucky,USA,2010,1,18,185.42000000000002
Avery Bradley,6-2,180,Texas,USA,2010,1,19,187.96
Evan Turner,6-7,205,Ohio State,USA,2010,1,2,200.66
James Anderson,6-6,215,Oklahoma State,USA,2010,1,20,198.12
Craig Brackins,6-10,230,Iowa State,USA,2010,1,21,208.28
Elliot Williams,6-5,180,Memphis,,2010,1,22,195.58
Trevor Booker,6-8,240,Clemson,USA,2010,1,23,203.2
Damion James,6-7,225,Texas,USA,2010,1,24,200.66
Dominique Jones,6-5,215,South Florida,USA,2010,1,25,195.58
Quincy Pondexter,6-6,225,Washington,USA,2010,1,26,198.12
Jordan Crawford,6-4,195,Xavier,USA,2010,1,27,193.04
Greivis Vasquez,6-6,211,Maryland,Venezuela,2010,1,28,198.12
Daniel Orton,6-10,255,Kentucky,USA,2010,1,29,208.28
Derrick Favors,6-10,248,Georgia Tech,USA,2010,1,3,208.28
Lazar Hayward,6-6,225,Marquette,USA,2010,1,30,198.12
Tibor Pleiss,7-3,256,None,Germany,2010,2,31,220.98
Dexter Pittman,6-11,285,Texas,USA,2010,2,32,210.82
Hassan Whiteside,7-0,235,Marshall,USA,2010,2,33,213.36
Armon Johnson,6-3,195,Nevada-Reno,,2010,2,34,190.5
Nemanja Bjelica,6-10,230,None,Serbia,2010,2,35,208.28
Darington Hobson,6-7,210,New Mexico,USA,2010,2,37,200.66
Andy Rautins,6-4,190,Syracuse,USA,2010,2,38,193.04
Landry Fields,6-7,215,Stanford,USA,2010,2,39,200.66
Wesley Johnson,6-7,215,Syracuse,USA,2010,1,4,200.66
Lance Stephenson,6-5,220,Cincinnati,USA,2010,2,40,195.58
Jarvis Varnado,6-9,230,Mississippi State,USA,2010,2,41,205.74
Devin Ebanks,6-9,215,West Virginia,USA,2010,2,43,205.74
Jerome Jordan,7-0,240,Tulsa,Jamaica,2010,2,44,213.36
Gani Lawal,6-9,234,Georgia Tech,USA,2010,2,46,205.74
DeMarcus Cousins,6-11,270,Kentucky,USA,2010,1,5,210.82
Solomon Alabi,7-1,252,Florida State,Nigeria,2010,2,50,215.9
Luke Harangody,6-7,245,Notre Dame,USA,2010,2,52,200.66
Pape Sy,6-7,225,None,,2010,2,53,200.66
Willie Warren,6-4,203,Oklahoma,USA,2010,2,54,193.04
Jeremy Evans,6-9,194,Western Kentucky,USA,2010,2,55,205.74
Hamady Ndiaye,7-0,235,Rutgers,Senegal,2010,2,56,213.36
Ryan Reid,6-8,235,Florida State,USA,2010,2,57,203.2
Derrick Caracter,6-9,275,Texas-El Paso,USA,2010,2,58,205.74
Ekpe Udoh,6-10,245,Baylor,USA,2010,1,6,208.28
Greg Monroe,6-11,250,Georgetown,USA,2010,1,7,210.82
Al-Farouq Aminu,6-9,215,Wake Forest,USA,2010,1,8,205.74
Gordon Hayward,6-8,210,Butler,USA,2010,1,9,203.2
Kyrie Irving,6-3,191,Duke,Australia,2011,1,1,190.5
Jimmer Fredette,6-2,195,Brigham Young,USA,2011,1,10,187.96
Klay Thompson,6-7,205,Washington State,USA,2011,1,11,200.66
Alec Burks,6-6,202,Colorado,USA,2011,1,12,198.12
Markieff Morris,6-10,245,Kansas,USA,2011,1,13,208.28
Marcus Morris Sr.,6-9,235,Kansas,USA,2011,1,14,205.74
Kawhi Leonard,6-7,225,San Diego State,USA,2011,1,15,200.66
Nikola Vucevic,7-0,240,USC,Montenegro,2011,1,16,213.36
Iman Shumpert,6-5,220,Georgia Tech,USA,2011,1,17,195.58
Chris Singleton,6-8,230,Florida State,,2011,1,18,203.2
Tobias Harris,6-8,226,Tennessee,USA,2011,1,19,203.2
Derrick Williams,6-8,241,Arizona,USA,2011,1,2,203.2
Donatas Motiejunas,7-0,222,None,Lithuania,2011,1,20,213.36
Nolan Smith,6-2,185,Duke,USA,2011,1,21,187.96
Kenneth Faried,6-8,228,Morehead State,USA,2011,1,22,203.2
Nikola Mirotic,6-10,238,None,Montenegro,2011,1,23,208.28
Reggie Jackson,6-3,208,Boston College,USA,2011,1,24,190.5
MarShon Brooks,6-5,200,Providence,USA,2011,1,25,195.58
Jordan Hamilton,6-7,220,Texas,USA,2011,1,26,200.66
JaJuan Johnson,6-10,221,Purdue,USA,2011,1,27,208.28
Norris Cole,6-2,175,Cleveland State,USA,2011,1,28,187.96
Cory Joseph,6-3,185,Texas,Canada,2011,1,29,190.5
Enes Kanter,6-11,267,,Turkey,2011,1,3,210.82
Jimmy Butler,6-7,220,Marquette,USA,2011,1,30,200.66
Bojan Bogdanovic,6-8,230,None,Croatia,2011,2,31,203.2
Justin Harper,6-10,225,Richmond,USA,2011,2,32,208.28
Kyle Singler,6-8,228,Duke,USA,2011,2,33,203.2
Shelvin Mack,6-3,207,Butler,USA,2011,2,34,190.5
Tyler Honeycutt,6-8,188,California-Los Angeles,USA,2011,2,35,203.2
Jordan Williams,6-10,260,Maryland,USA,2011,2,36,208.28
Trey Thompkins,6-10,245,Georgia,USA,2011,2,37,208.28
Chandler Parsons,6-9,227,Florida,USA,2011,2,38,205.74
Jeremy Tyler,6-10,260,None,USA,2011,2,39,208.28
Tristan Thompson,6-9,227,Texas,Canada,2011,1,4,205.74
Jon Leuer,6-10,228,Wisconsin,USA,2011,2,40,208.28
Darius Morris,6-4,190,Michigan,USA,2011,2,41,193.04
Davis Bertans,6-10,210,None,Latvia,2011,2,42,208.28
Malcolm Lee,6-5,200,California-Los Angeles,USA,2011,2,43,195.58
Charles Jenkins,6-3,220,Hofstra,USA,2011,2,44,190.5
Josh Harrellson,6-10,275,Kentucky,USA,2011,2,45,208.28
Andrew Goudelock,6-3,200,College of Charleston,USA,2011,2,46,190.5
Travis Leslie,6-4,205,Georgia,USA,2011,2,47,193.04
Keith Benson,6-11,230,Oakland,USA,2011,2,48,210.82
Josh Selby,6-2,183,Kansas,USA,2011,2,49,187.96
Jonas Valanciunas,7-0,255,None,Lithuania,2011,1,5,213.36
Lavoy Allen,6-9,225,Temple,USA,2011,2,50,205.74
Vernon Macklin,6-10,227,Florida,USA,2011,2,52,208.28
DeAndre Liggins,6-6,209,Kentucky,USA,2011,2,53,198.12
E'Twaun Moore,6-4,191,Purdue,USA,2011,2,55,193.04
Jan Vesely,6-11,240,None,Czech Republi...,2011,1,6,210.82
Isaiah Thomas,5-9,185,Washington,USA,2011,2,60,175.26
Bismack Biyombo,6-9,245,None,Democratic Re...,2011,1,7,205.74
Brandon Knight,6-3,189,Kentucky,USA,2011,1,8,190.5
Kemba Walker,6-1,184,Connecticut,USA,2011,1,9,185.42000000000002
Xavier Silas,6-5,205,Northern Illinois,USA,2011,,,195.58
Anthony Davis,6-10,253,Kentucky,USA,2012,1,1,208.28
Austin Rivers,6-4,200,Duke,USA,2012,1,10,193.04
Meyers Leonard,7-1,255,Illinois,USA,2012,1,11,215.9
Jeremy Lamb,6-5,185,Connecticut,USA,2012,1,12,195.58
Kendall Marshall,6-4,195,North Carolina,USA,2012,1,13,193.04
John Henson,6-11,229,North Carolina,USA,2012,1,14,210.82
Maurice Harkless,6-9,220,"St. John's, N.Y.",USA,2012,1,15,205.74
Royce White,6-8,260,Iowa State,USA,2012,1,16,203.2
Tyler Zeller,7-0,250,North Carolina,USA,2012,1,17,213.36
Terrence Jones,6-9,252,Kentucky,USA,2012,1,18,205.74
Andrew Nicholson,6-9,250,St. Bonaventure,Canada,2012,1,19,205.74
Michael Kidd-Gilchrist,6-7,232,Kentucky,USA,2012,1,2,200.66
Evan Fournier,6-7,205,None,France,2012,1,20,200.66
Jared Sullinger,6-9,260,Ohio State,USA,2012,1,21,205.74
Fab Melo,7-0,255,Syracuse,Brazil,2012,1,22,213.36
John Jenkins,6-4,215,Vanderbilt,USA,2012,1,23,193.04
Jared Cunningham,6-4,195,Oregon State,USA,2012,1,24,193.04
Tony Wroten,6-6,208,Washington,USA,2012,1,25,198.12
Miles Plumlee,6-11,249,Duke,USA,2012,1,26,210.82
Arnett Moultrie,6-10,245,Mississippi State,USA,2012,1,27,208.28
Perry Jones III,6-11,235,Baylor,USA,2012,1,28,210.82
Marquis Teague,6-2,189,Kentucky,USA,2012,1,29,187.96
Bradley Beal,6-5,207,Florida,USA,2012,1,3,195.58
Festus Ezeli,6-11,255,Vanderbilt,Nigeria,2012,1,30,210.82
Jeffery Taylor,6-7,225,Vanderbilt,Sweden,2012,2,31,200.66
Tomas Satoransky,6-7,210,None,Czech Republi...,2012,2,32,200.66
Bernard James,6-10,240,Florida State,USA,2012,2,33,208.28
Jae Crowder,6-6,235,Marquette,USA,2012,2,34,198.12
Draymond Green,6-7,230,Michigan State,USA,2012,2,35,200.66
Orlando Johnson,6-5,220,Cal-Santa Barbara,USA,2012,2,36,195.58
Quincy Acy,6-7,240,Baylor,USA,2012,2,37,200.66
Quincy Miller,6-9,210,Baylor,USA,2012,2,38,205.74
Khris Middleton,6-8,234,Texas A&M,USA,2012,2,39,203.2
Dion Waiters,6-4,215,Syracuse,USA,2012,1,4,193.04
Will Barton,6-6,190,Memphis,USA,2012,2,40,198.12
Tyshawn Taylor,6-3,185,Kansas,USA,2012,2,41,190.5
Doron Lamb,6-4,210,Kentucky,USA,2012,2,42,193.04
Mike Scott,6-8,237,Virginia,USA,2012,2,43,203.2
Kim English,6-6,200,Missouri,USA,2012,2,44,198.12
Justin Hamilton,7-0,255,Louisiana State,USA,2012,2,45,213.36
Darius Miller,6-8,225,Kentucky,USA,2012,2,46,203.2
Kevin Murphy,6-6,185,Tennessee Tech,USA,2012,2,47,198.12
Kostas Papanikolaou,6-8,235,None,Greece,2012,2,48,203.2
Kyle O'Quinn,6-10,250,Norfolk State,USA,2012,2,49,208.28
Thomas Robinson,6-10,237,Kansas,USA,2012,1,5,208.28
Kris Joseph,6-7,210,Syracuse,,2012,2,51,200.66
Ognjen Kuzmic,7-0,251,None,Bosnia,2012,2,52,213.36
Furkan Aldemir,6-10,240,None,Turkey,2012,2,53,208.28
Tornike Shengelia,6-9,240,Georgia,Georgia,2012,2,54,205.74
Darius Johnson-Odom,6-2,215,Marquette,USA,2012,2,55,187.96
Robbie Hummel,6-8,220,Purdue,USA,2012,2,58,203.2
Damian Lillard,6-3,195,Weber State,USA,2012,1,6,190.5
Robert Sacre,7-0,260,Gonzaga,Canada,2012,2,60,213.36
Harrison Barnes,6-8,225,North Carolina,USA,2012,1,7,203.2
Terrence Ross,6-7,206,Washington,USA,2012,1,8,200.66
Andre Drummond,6-11,279,Connecticut,USA,2012,1,9,210.82
Anthony Bennett,6-8,245,UNLV,Canada,2013,1,1,203.2
CJ McCollum,6-3,190,Lehigh,USA,2013,1,10,190.5
Michael Carter-Williams,6-6,190,Syracuse,USA,2013,1,11,198.12
Steven Adams,7-0,255,Pittsburgh,New Zealand,2013,1,12,213.36
Kelly Olynyk,7-0,245,Gonzaga,Canada,2013,1,13,213.36
Shabazz Muhammad,6-6,221,California-Los Angeles,USA,2013,1,14,198.12
Giannis Antetokounmpo,6-11,222,None,Greece,2013,1,15,210.82
Lucas Nogueira,7-0,220,None,Brazil,2013,1,16,213.36
Dennis Schroder,6-1,172,None,Germany,2013,1,17,185.42000000000002
Shane Larkin,5-11,175,Miami,USA,2013,1,18,180.34
Sergey Karasev,6-7,208,None,Russia,2013,1,19,200.66
Victor Oladipo,6-4,210,Indiana,USA,2013,1,2,193.04
Tony Snell,6-7,221,,USA,2013,1,20,200.66
Gorgui Dieng,6-11,251,Louisville,Senegal,2013,1,21,210.82
Mason Plumlee,6-11,255,Duke,USA,2013,1,22,210.82
Solomon Hill,6-7,225,Arizona,USA,2013,1,23,200.66
Tim Hardaway Jr.,6-6,205,Michigan,USA,2013,1,24,198.12
Reggie Bullock,6-7,205,North Carolina,USA,2013,1,25,200.66
Andre Roberson,6-7,210,Colorado,USA,2013,1,26,200.66
Rudy Gobert,7-1,245,None,France,2013,1,27,215.9
Archie Goodwin,6-5,200,Kentucky,USA,2013,1,29,195.58
Otto Porter Jr.,6-8,198,Georgetown,USA,2013,1,3,203.2
Nemanja Nedovic,6-3,192,None,Serbia,2013,1,30,190.5
Allen Crabbe,6-6,215,California,USA,2013,2,31,198.12
Alex Abrines,6-6,190,None,Spain,2013,2,32,198.12
Carrick Felix,6-6,201,Arizona State,USA,2013,2,33,198.12
Isaiah Canaan,6-0,201,Murray State,USA,2013,2,34,182.88
Glen Rice,6-6,206,Michigan,,2013,2,35,198.12
Ray McCallum,6-3,190,Detroit,USA,2013,2,36,190.5
Tony Mitchell,6-8,235,North Texas,USA,2013,2,37,203.2
Nate Wolters,6-4,190,South Dakota State,,2013,2,38,193.04
Jeff Withey,7-0,230,Kansas,USA,2013,2,39,213.36
Cody Zeller,7-0,240,Indiana,USA,2013,1,4,213.36
Grant Jerrett,6-10,232,Arizona,USA,2013,2,40,208.28
Jamaal Franklin,6-5,191,San Diego State,USA,2013,2,41,195.58
Pierre Jackson,5-10,180,Baylor,USA,2013,2,42,177.8
Ricky Ledo,6-7,195,Providence,USA,2013,2,43,200.66
Mike Muscala,6-11,240,Bucknell,USA,2013,2,44,210.82
Erick Green,6-4,185,Virginia Tech,USA,2013,2,46,193.04
Raul Neto,6-1,179,None,Brazil,2013,2,47,185.42000000000002
Ryan Kelly,6-11,230,Duke,USA,2013,2,48,210.82
Erik Murphy,6-10,230,Florida,,2013,2,49,208.28
Alex Len,7-1,250,Maryland,Ukraine,2013,1,5,215.9
James Ennis III,6-7,210,Cal State-Long Beach,USA,2013,2,50,200.66
Lorenzo Brown,6-5,189,North Carolina State,USA,2013,2,52,195.58
Joffrey Lauvergne,6-11,260,None,France,2013,2,55,210.82
Peyton Siva,6-0,185,Louisville,USA,2013,2,56,182.88
Nerlens Noel,6-11,220,Kentucky,USA,2013,1,6,210.82
Ben McLemore,6-5,195,Kansas,USA,2013,1,7,195.58
Kentavious Caldwell-Pope,6-5,205,Georgia,USA,2013,1,8,195.58
Trey Burke,6-1,191,Michigan,USA,2013,1,9,185.42000000000002
Andrew Wiggins,6-8,202,Kansas,Canada,2014,1,1,203.2
Elfrid Payton,6-4,185,Louisana-Lafayette,USA,2014,1,10,193.04
Doug McDermott,6-8,219,Creighton,USA,2014,1,11,203.2
Dario Saric,6-10,223,None,Croatia,2014,1,12,208.28
Zach LaVine,6-5,185,UCLA,USA,2014,1,13,195.58
T.J. Warren,6-8,215,North Carolina State,USA,2014,1,14,203.2
Adreian Payne,6-10,237,Michigan State,USA,2014,1,15,208.28
Jusuf Nurkic,7-0,280,None,Bosnia and He...,2014,1,16,213.36
James Young,6-6,215,Kentucky,USA,2014,1,17,198.12
Tyler Ennis,6-3,194,Syracuse,Canada,2014,1,18,190.5
Gary Harris,6-4,210,Michigan State,USA,2014,1,19,193.04
Jabari Parker,6-8,250,Duke,USA,2014,1,2,203.2
Bruno Caboclo,6-9,205,None,Brazil,2014,1,20,205.74
Mitch McGary,6-10,255,Michigan,USA,2014,1,21,208.28
Jordan Adams,6-5,209,UCLA,USA,2014,1,22,195.58
Rodney Hood,6-8,206,Duke,USA,2014,1,23,203.2
Shabazz Napier,6-1,175,Connecticut,USA,2014,1,24,185.42000000000002
Clint Capela,6-10,240,None,Switzerland,2014,1,25,208.28
PJ Hairston,6-6,230,None,USA,2014,1,26,198.12
Bogdan Bogdanovic,6-6,205,None,Serbia,2014,1,27,198.12
C.J. Wilcox,6-5,195,Washington,USA,2014,1,28,195.58
Josh Huestis,6-7,230,Stanford,USA,2014,1,29,200.66
Joel Embiid,7-0,250,Kansas,Cameroon,2014,1,3,213.36
Kyle Anderson,6-9,230,UCLA,USA,2014,1,30,205.74
Damien Inglis,6-8,246,None,France,2014,2,31,203.2
KJ McDaniels,6-6,205,Clemson,USA,2014,2,32,198.12
Joe Harris,6-6,219,Virginia,USA,2014,2,33,198.12
Cleanthony Early,6-8,210,Wichita State,USA,2014,2,34,203.2
Jarnell Stokes,6-9,263,Tennessee,USA,2014,2,35,205.74
Johnny O'Bryant III,6-9,257,Louisiana State,USA,2014,2,36,205.74
Spencer Dinwiddie,6-6,200,Colorado,USA,2014,2,38,198.12
Jerami Grant,6-9,220,Syracuse,USA,2014,2,39,205.74
Aaron Gordon,6-9,220,Arizona,USA,2014,1,4,205.74
Glenn Robinson III,6-7,215,Michigan,USA,2014,2,40,200.66
Nikola Jokic,6-10,250,None,Serbia,2014,2,41,208.28
Nick Johnson,6-3,202,Arizona,USA,2014,2,42,190.5
Edy Tavares,7-3,260,None,Cabo Verde,2014,2,43,220.98
Markel Brown,6-3,190,Oklahoma State,USA,2014,2,44,190.5
Dwight Powell,6-11,240,Stanford,Canada,2014,2,45,210.82
Jordan Clarkson,6-5,194,Missouri,USA,2014,2,46,195.58
Russ Smith,6-0,165,Louisville,USA,2014,2,47,182.88
Lamar Patterson,6-5,225,Pittsburgh,USA,2014,2,48,195.58
Cameron Bairstow,6-9,250,New Mexico,Australia,2014,2,49,205.74
Dante Exum,6-6,190,None,Australia,2014,1,5,198.12
Thanasis Antetokounmpo,6-7,205,None,Greece,2014,2,51,200.66
Semaj Christon,6-3,190,Xavier,USA,2014,2,55,190.5
Devyn Marble,6-6,200,Iowa,USA,2014,2,56,198.12
Jordan McRae,6-5,179,Tennessee,USA,2014,2,58,195.58
Marcus Smart,6-4,220,Oklahoma State,USA,2014,1,6,193.04
Cory Jefferson,6-9,218,Baylor,USA,2014,2,60,205.74
Julius Randle,6-9,250,Kentucky,USA,2014,1,7,205.74
Nik Stauskas,6-6,205,Michigan,Canada,2014,1,8,198.12
Noah Vonleh,6-9,245,Indiana,USA,2014,1,9,205.74
Karl-Anthony Towns,7-0,248,Kentucky,USA,2015,1,1,213.36
Justise Winslow,6-7,225,Duke,USA,2015,1,10,200.66
Myles Turner,6-11,255,Texas,USA,2015,1,11,210.82
Trey Lyles,6-10,234,Kentucky,USA,2015,1,12,208.28
Devin Booker,6-6,210,Kentucky,USA,2015,1,13,198.12
Cameron Payne,6-3,185,Murray State,USA,2015,1,14,190.5
Kelly Oubre Jr.,6-7,205,Kansas,USA,2015,1,15,200.66
Terry Rozier,6-2,190,Louisville,USA,2015,1,16,187.96
Rashad Vaughn,6-6,202,Nevada-Las Vegas,USA,2015,1,17,198.12
Sam Dekker,6-9,230,Wisconsin,USA,2015,1,18,205.74
Jerian Grant,6-4,198,Notre Dame,USA,2015,1,19,193.04
D'Angelo Russell,6-5,195,Ohio State,USA,2015,1,2,195.58
Delon Wright,6-5,190,Utah,USA,2015,1,20,195.58
Justin Anderson,6-6,230,Virginia,USA,2015,1,21,198.12
Bobby Portis,6-11,248,Arkansas,USA,2015,1,22,210.82
Rondae Hollis-Jefferson,6-7,214,Arizona,USA,2015,1,23,200.66
Tyus Jones,6-2,184,Duke,USA,2015,1,24,187.96
Jarell Martin,6-10,239,Louisiana State,USA,2015,1,25,208.28
Larry Nance Jr.,6-9,230,Wyoming,USA,2015,1,27,205.74
RJ Hunter,6-5,185,Georgia State,USA,2015,1,28,195.58
Chris McCullough,6-9,215,Syracuse,USA,2015,1,29,205.74
Jahlil Okafor,6-11,260,Duke,USA,2015,1,3,210.82
Kevon Looney,6-9,220,UCLA,USA,2015,1,30,205.74
Cedi Osman,6-8,215,None,Turkey,2015,2,31,203.2
Montrezl Harrell,6-8,240,Louisville,USA,2015,2,32,203.2
Jordan Mickey,6-8,235,Louisiana State,USA,2015,2,33,203.2
Anthony Brown,6-7,224,Stanford,USA,2015,2,34,200.66
Willy Hernangomez,6-11,240,None,Spain,2015,2,35,210.82
Rakeem Christmas,6-9,250,Syracuse,USA,2015,2,36,205.74
Richaun Holmes,6-10,235,Bowling Green,USA,2015,2,37,208.28
Darrun Hilliard,6-6,220,Villanova,USA,2015,2,38,198.12
Kristaps Porzingis,7-3,240,None,Latvia,2015,1,4,220.98
Josh Richardson,6-6,200,Tennessee,USA,2015,2,40,198.12
Pat Connaughton,6-5,210,Notre Dame,USA,2015,2,41,195.58
Joe Young,6-2,185,Oregon,USA,2015,2,43,187.96
Andrew Harrison,6-6,213,Kentucky,USA,2015,2,44,198.12
Norman Powell,6-4,215,UCLA,USA,2015,2,46,193.04
Dakari Johnson,7-0,255,Kentucky,USA,2015,2,48,213.36
Mario Hezonja,6-8,218,None,Croatia,2015,1,5,203.2
Branden Dawson,6-6,225,Michigan State,USA,2015,2,56,198.12
Willie Cauley-Stein,7-0,240,Kentucky,USA,2015,1,6,213.36
Emmanuel Mudiay,6-5,200,None,Democratic Re...,2015,1,7,195.58
Stanley Johnson,6-7,245,Arizona,USA,2015,1,8,200.66
Frank Kaminsky,7-0,242,Wisconsin,USA,2015,1,9,213.36
Ben Simmons,6-10,230,Louisiana State,Australia,2016,1,1,208.28
Thon Maker,7-1,223,None,South Sudan,2016,1,10,215.9
Domantas Sabonis,6-10,252,Gonzaga,Lithuania,2016,1,11,208.28
Taurean Prince,6-8,220,Baylor,USA,2016,1,12,203.2
Georgios Papagiannis,7-1,240,None,Greece,2016,1,13,215.9
Denzel Valentine,6-6,214,Michigan State,USA,2016,1,14,198.12
Juancho Hernangomez,6-9,230,None,Spain,2016,1,15,205.74
Guerschon Yabusele,6-8,260,None,France,2016,1,16,203.2
Wade Baldwin IV,6-4,202,Vanderbilt,USA,2016,1,17,193.04
Henry Ellenson,6-11,245,Marquette,USA,2016,1,18,210.82
Malik Beasley,6-5,196,Florida State,USA,2016,1,19,195.58
Brandon Ingram,6-9,190,Duke,USA,2016,1,2,205.74
Caris LeVert,6-7,203,Michigan,USA,2016,1,20,200.66
DeAndre' Bembry,6-6,210,None,USA,2016,1,21,198.12
Malachi Richardson,6-6,205,Syracuse,USA,2016,1,22,198.12
Ante Zizic,6-11,250,None,Croatia,2016,1,23,210.82
Timothe Luwawu-Cabarrot,6-6,200,None,France,2016,1,24,198.12
Brice Johnson,6-10,230,North Carolina,USA,2016,1,25,208.28
Furkan Korkmaz,6-7,190,None,Turkey,2016,1,26,200.66
Pascal Siakam,6-9,230,New Mexico State,Cameroon,2016,1,27,205.74
Skal Labissiere,6-11,225,Kentucky,Haiti,2016,1,28,210.82
Dejounte Murray,6-5,170,Washington,USA,2016,1,29,195.58
Jaylen Brown,6-7,225,California,USA,2016,1,3,200.66
Damian Jones,7-0,245,Vanderbilt,USA,2016,1,30,213.36
Deyonta Davis,6-11,237,Michigan State,USA,2016,2,31,210.82
Ivica Zubac,7-1,240,None,Croatia,2016,2,32,215.9
Cheick Diallo,6-9,220,Kansas,Mali,2016,2,33,205.74
Tyler Ulis,5-10,160,Kentucky,USA,2016,2,34,177.8
Malcolm Brogdon,6-5,215,Virginia,USA,2016,2,36,195.58
Chinanu Onuaku,6-10,245,Louisville,USA,2016,2,37,208.28
Patrick McCaw,6-7,185,UNLV,USA,2016,2,38,200.66
Dragan Bender,7-1,225,None,Croatia,2016,1,4,215.9
Diamond Stone,6-11,255,Maryland,USA,2016,2,40,210.82
Stephen Zimmerman,7-0,240,UNLV,USA,2016,2,41,213.36
Isaiah Whitehead,6-4,213,Seton Hall,USA,2016,2,42,193.04
Zhou Qi,7-1,210,None,China,2016,2,43,215.9
Demetrius Jackson,6-1,201,Notre Dame,USA,2016,2,45,185.42000000000002
AJ Hammons,7-0,260,Purdue,USA,2016,2,46,213.36
Jake Layman,6-9,210,Maryland,USA,2016,2,47,205.74
Paul Zipser,6-8,226,None,Germany,2016,2,48,203.2
Michael Gbinije,6-7,200,Syracuse,USA,2016,2,49,200.66
Kris Dunn,6-4,210,Providence,USA,2016,1,5,193.04
Georges Niang,6-6,231,Iowa State,USA,2016,2,50,198.12
Ben Bentil,6-9,235,Providence,Ghana,2016,2,51,205.74
Joel Bolomboy,6-9,235,Weber State,Ukraine,2016,2,52,205.74
Kay Felder,5-9,176,None,USA,2016,2,54,175.26
Marcus Paige,6-0,164,North Carolina,USA,2016,2,55,182.88
Daniel Hamilton,6-7,195,Connecticut,USA,2016,2,56,200.66
Abdel Nader,6-6,230,Iowa State,Egypt,2016,2,58,198.12
Buddy Hield,6-4,214,Oklahoma,Bahamas,2016,1,6,193.04
Tyrone Wallace,6-5,198,California,USA,2016,2,60,195.58
Jamal Murray,6-4,207,Kentucky,Canada,2016,1,7,193.04
Marquese Chriss,6-10,240,Washington,USA,2016,1,8,208.28
Jakob Poeltl,7-0,230,Utah,Austria,2016,1,9,213.36
Markelle Fultz,6-4,200,Washington,USA,2017,1,1,193.04
Zach Collins,7-0,230,Gonzaga,USA,2017,1,10,213.36
Malik Monk,6-3,200,Kentucky,USA,2017,1,11,190.5
Luke Kennard,6-5,200,Duke,USA,2017,1,12,195.58
Donovan Mitchell,6-3,215,Louisville,USA,2017,1,13,190.5
Bam Adebayo,6-10,255,Kentucky,USA,2017,1,14,208.28
Justin Jackson,6-8,210,North Carolina,USA,2017,1,15,203.2
Justin Patton,7-0,236,Creighton,USA,2017,1,16,213.36
D.J. Wilson,6-10,236,Michigan,USA,2017,1,17,208.28
TJ Leaf,6-10,230,UCLA,USA,2017,1,18,208.28
John Collins,6-10,235,Wake Forest,USA,2017,1,19,208.28
Lonzo Ball,6-6,190,UCLA,USA,2017,1,2,198.12
Harry Giles III,6-11,240,Duke,USA,2017,1,20,210.82
Terrance Ferguson,6-7,184,None,USA,2017,1,21,200.66
Jarrett Allen,6-11,234,Texas,USA,2017,1,22,210.82
OG Anunoby,6-8,235,Indiana,United Kingdo...,2017,1,23,203.2
