,Player,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
576,Jason Maxiell,6-7,260,Cincinnati,USA,2005,1,26,200.66,-%,-,-,8' 11'',7' 3.25''
577,Linas Kleiza,6-8,234,Missouri,Lithuania,2005,1,27,203.2,,,,,
578,Ian Mahinmi,6-11,230,None,France,2005,1,28,210.82,,,,,
579,Wayne Simien,6-9,250,Kansas,USA,2005,1,29,205.74,-%,-,-,8' 11'',7' 0''
580,Deron Williams,6-3,209,Illinois,USA,2005,1,3,190.5,-%,-,-,8' 2'',6' 6.25''
581,David Lee,6-9,240,Florida,USA,2005,1,30,205.74,-%,-,-,8' 10.5'',7' 0''
582,Salim Stoudamire,6-1,175,Arizona,,2005,2,31,185.42,,,,,
583,Daniel Ewing,6-3,185,Duke,USA,2005,2,32,190.5,,,,,
584,Brandon Bass,6-8,250,Louisiana State,USA,2005,2,33,203.2,9.30%,,,8' 10.5'',7' 2.5''
585,CJ Miles,6-6,222,None,USA,2005,2,34,198.12,,,,,
586,Ersan Ilyasova,6-10,235,None,Turkey,2005,2,36,208.28,-%,-,-,9' 1.5'',7' 1.25''
587,Ronny Turiaf,6-10,245,Gonzaga,France,2005,2,37,208.28,-%,-,-,8' 10.5'',7' 1.5''
588,Travis Diener,6-1,175,Marquette,USA,2005,2,38,185.42,-%,-,-,7' 9.5'',5' 11.75''
589,Von Wafer,6-5,210,Florida State,USA,2005,2,39,195.58,,,,,
590,Chris Paul,6-0,175,Wake Forest,USA,2005,1,4,182.88,-%,-,-,7' 9'',6' 4.25''
591,Monta Ellis,6-3,185,None,USA,2005,2,40,190.5,-%,-,-,8' 2'',6' 2.75''
592,Roko Ukic,6-5,190,None,USA,2005,2,41,195.58,,,,,
593,Chris Taft,6-10,261,Pittsburgh,USA,2005,2,42,208.28,-%,-,-,9' 1'',7' 1.75''
594,Mile Ilic,7-1,255,None,USA,2005,2,43,215.9,,,,,
595,Martynas Andriuskevicius,7-2,240,None,Lithuania,2005,2,44,218.44,-%,-,-,9' 4.5'',6' 11.25''
596,Lou Williams,6-1,175,None,USA,2005,2,45,185.42,,,,,
597,Bracey Wright,6-3,210,Indiana,USA,2005,2,47,190.5,-%,-,-,8' 4.5'',6' 10''
598,Mickael Gelabale,6-7,215,None,USA,2005,2,48,200.66,,,,,
599,Andray Blatche,6-11,260,None,USA,2005,2,49,210.82,,,,,
600,Raymond Felton,6-1,205,North Carolina,USA,2005,1,5,185.42,-%,-,-,8' 2'',6' 4.25''
601,Ryan Gomes,6-7,245,Providence,USA,2005,2,50,200.66,,,,8' 10.5'',7' 2''
602,Robert Whaley,6-10,260,Walsh,USA,2005,2,51,208.28,-%,-,-,9' 0'',7' 2''
603,Orien Greene,6-4,208,Louisana-Lafayette,USA,2005,2,53,193.04,,,,,
604,Dijon Thompson,6-7,195,California-Los Angeles,USA,2005,2,54,200.66,-%,-,-,8' 9.5'',6' 9.75''
605,Lawrence Roberts,6-9,240,Mississippi,USA,2005,2,55,205.74,9.30%,,,8' 10.5'',6' 9.5''
606,Amir Johnson,6-9,210,None,USA,2005,2,56,205.74,,,,,
607,Marcin Gortat,6-11,240,None,Poland,2005,2,57,210.82,-%,-,-,9' 2'',7' 3.5''
608,Uros Slokar,6-10,238,None,USA,2005,2,58,208.28,,,,,
609,Martell Webster,6-7,230,None,USA,2005,1,6,200.66,-%,-,-,8' 10'',6' 11''
610,Alex Acker,6-5,185,Pepperdine,USA,2005,2,60,195.58,-%,-,-,8' 6.5'',7' 0''
611,Charlie Villanueva,6-11,232,Connecticut,USA,2005,1,7,210.82,-%,-,-,9' 1'',7' 0.25''
612,Channing Frye,6-11,245,Arizona,USA,2005,1,8,210.82,-%,-,-,9' 2.5'',7' 2.5''
613,Ike Diogu,6-9,250,Arizona State,USA,2005,1,9,205.74,-%,-,-,9' 1'',7' 3.5''
614,Andrea Bargnani,7-0,256,None,Italy,2006,1,1,213.36,,,,,
615,Mouhamed Sene,6-11,230,None,Senegal,2006,1,10,210.82,6.60%,-,-,9' 5'',7' 8.5''
616,JJ Redick,6-4,190,Duke,USA,2006,1,11,193.04,7.00%,-,-,8' 1.5'',6' 3.25''
617,Hilton Armstrong,6-11,235,Connecticut,USA,2006,1,12,210.82,6.30%,-,-,9' 1'',7' 4''
618,Thabo Sefolosha,6-7,215,None,Switzerland,2006,1,13,200.66,,,,,
619,Ronnie Brewer,6-7,227,Arkansas,USA,2006,1,14,200.66,5.00%,-,-,8' 7.5'',6' 11.25''
620,Cedric Simmons,6-9,235,North Carolina State,USA,2006,1,15,205.74,5.60%,-,-,9' 0.5'',7' 4.25''
621,Rodney Carney,6-7,204,Memphis,USA,2006,1,16,200.66,5.30%,-,-,8' 7.5'',6' 10''
622,Shawne Williams,6-9,230,Memphis,USA,2006,1,17,205.74,8.00%,-,-,8' 8'',7' 3''
623,Oleksiy Pecherov,7-0,234,None,Ukraine,2006,1,18,213.36,,,,,
624,Quincy Douby,6-3,175,Rutgers,USA,2006,1,19,190.5,,,,,
625,LaMarcus Aldridge,6-11,240,Texas,USA,2006,1,2,210.82,8.70%,-,-,9' 2'',7' 4.75''
626,Renaldo Balkman,6-8,225,South Carolina,USA,2006,1,20,203.2,4.90%,-,-,8' 8.5'',7' 1''
627,Rajon Rondo,6-1,186,Kentucky,USA,2006,1,21,185.42,,,,,
628,Marcus Williams,6-3,205,Connecticut,USA,2006,1,22,190.5,12.40%,-,-,8' 1.5'',6' 7''
629,Josh Boone,6-10,237,Connecticut,USA,2006,1,23,208.28,,,,,
630,Kyle Lowry,6-0,205,Villanova,USA,2006,1,24,182.88,,,,,
631,Shannon Brown,6-4,210,Michigan State,USA,2006,1,25,193.04,,,,,
632,Jordan Farmar,6-2,180,California-Los Angeles,USA,2006,1,26,187.96,4.40%,-,-,7' 10.5'',6' 3''
633,Sergio Rodriguez,6-3,168,None,Spain,2006,1,27,190.5,,,,,
634,Maurice Ager,6-5,202,Michigan State,USA,2006,1,28,195.58,8.00%,-,-,8' 5.5'',6' 7.75''
635,Mardy Collins,6-6,220,Temple,USA,2006,1,29,198.12,10.00%,-,-,8' 7'',6' 10''
636,Adam Morrison,6-8,205,Gonzaga,USA,2006,1,3,203.2,6.80%,-,-,8' 9'',6' 10''
637,Joel Freeland,6-10,225,None,Great Britain,2006,1,30,208.28,,,,,
638,James White,6-7,215,Cincinnati,USA,2006,2,31,200.66,,,,,
639,Steve Novak,6-10,240,Marquette,USA,2006,2,32,208.28,8.10%,-,-,8' 7'',6' 9.5''
640,Solomon Jones,6-10,245,South Florida,USA,2006,2,33,208.28,7.40%,-,-,9' 1'',7' 4.75''
