,Player,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm,BODY FAT %,"
            HAND LENGTH (inches)
          ",HAND WIDTH (inches),STANDING REACH,WINGSPAN
134,Grant Hill,6-8,225,Duke,USA,1994,1,3,203.2,,,,,
135,Howard Eisley,6-2,180,Boston College,USA,1994,2,30,187.96,,,,,
136,Michael Smith,6-8,240,Shaw,USA,1994,2,35,203.2,,,,,
137,Anthony Miller,6-9,255,Michigan State,USA,1994,2,39,205.74,,,,,
138,Donyell Marshall,6-9,230,Connecticut,USA,1994,1,4,205.74,,,,,
139,Voshon Lenard,6-4,205,Minnesota,USA,1994,2,46,193.04,,,,,
140,Juwan Howard,6-9,250,Michigan,USA,1994,1,5,205.74,,,,,
141,Lawrence Funderburke,6-9,230,Ohio State,USA,1994,2,51,205.74,,,,,
142,Anthony Goldwire,6-2,182,Houston,USA,1994,2,52,187.96,,,,,
143,Zeljko Rebraca,7-0,257,None,Yugoslavia,1994,2,54,213.36,,,,,
144,Lamond Murray,6-7,236,California,USA,1994,1,7,200.66,,,,,
145,Brian Grant,6-9,254,Xavier,USA,1994,1,8,205.74,,,,,
146,Eric Montross,7-0,270,North Carolina,USA,1994,1,9,213.36,,,,,
147,Joe Smith,6-10,225,Maryland,USA,1995,1,1,208.28,,,,,
148,Kurt Thomas,6-9,230,Texas Christian,USA,1995,1,10,205.74,,,,,
149,Gary Trent,6-8,250,Ohio,USA,1995,1,11,203.2,,,,,
150,Cherokee Parks,6-11,240,Duke,USA,1995,1,12,210.82,,,,,
151,Corliss Williamson,6-7,245,Arkansas,USA,1995,1,13,200.66,,,,,
152,Eric Williams,6-8,220,Providence,USA,1995,1,14,203.2,,,,,
153,Brent Barry,6-6,203,Oregon State,USA,1995,1,15,198.12,,,,,
154,Alan Henderson,6-9,240,Indiana,USA,1995,1,16,205.74,,,,,
155,Bob Sura,6-5,200,Florida State,USA,1995,1,17,195.58,,,,,
156,Theo Ratliff,6-10,230,Wyoming,USA,1995,1,18,208.28,,,,,
157,Antonio McDyess,6-9,245,Alabama,USA,1995,1,2,205.74,,,,,
158,Jason Caffey,6-8,256,Alabama,USA,1995,1,20,203.2,,,,,
159,Michael Finley,6-7,215,Wisconsin,USA,1995,1,21,200.66,,,,,
160,Travis Best,5-11,181,Georgia Tech,USA,1995,1,23,180.34,,,,,
161,Greg Ostertag,7-2,280,Kansas,USA,1995,1,28,218.44,,,,,
162,Cory Alexander,6-1,190,Virginia,USA,1995,1,29,185.42,,,,,
163,Jerry Stackhouse,6-6,218,North Carolina,USA,1995,1,3,198.12,,,,,
164,Dragan Tarlac,6-11,270,None,USA,1995,2,31,210.82,,,,,
165,Andrew DeClercq,6-10,255,Florida,USA,1995,2,34,208.28,,,,,
166,Donny Marshall,6-7,230,Connecticut,USA,1995,2,39,200.66,,,,,
167,Rasheed Wallace,6-11,225,North Carolina,USA,1995,1,4,210.82,,,,,
168,Eric Snow,6-3,204,Michigan State,USA,1995,2,43,190.5,,,,,
169,Tyus Edney,5-10,166,California-Los Angeles,USA,1995,2,47,177.8,,,,,
170,Kevin Garnett,6-11,253,None,USA,1995,1,5,210.82,,,,,
171,Fred Hoiberg,6-5,210,Iowa State,USA,1995,2,52,195.58,,,,,
172,Chris Carr,6-6,220,Southern Illinois,USA,1995,2,56,198.12,,,,,
173,Don Reid,6-8,250,Georgetown,USA,1995,2,58,203.2,,,,,
174,Bryant Reeves,7-0,290,Oklahoma State,USA,1995,1,6,213.36,,,,,
175,Damon Stoudamire,5-10,171,Arizona,USA,1995,1,7,177.8,,,,,
176,Allen Iverson,6-0,165,Georgetown,USA,1996,1,1,182.88,,,,,
177,Erick Dampier,6-11,265,Mississippi State,USA,1996,1,10,210.82,,,,,
178,Vitaly Potapenko,6-10,285,Wright State,Ukraine,1996,1,12,208.28,,,,,
179,Kobe Bryant,6-6,205,None,USA,1996,1,13,198.12,,,,,
180,Peja Stojakovic,6-9,229,None,Serbia and Mo...,1996,1,14,205.74,,,,,
181,Steve Nash,6-3,178,Santa Clara,Canada,1996,1,15,190.5,,,,,
182,Tony Delk,6-2,189,Kentucky,USA,1996,1,16,187.96,,,,,
183,Jermaine O'Neal,6-11,255,None,USA,1996,1,17,210.82,,,,,
184,John Wallace,6-9,225,Syracuse,USA,1996,1,18,205.74,,,,,
185,Walter McCarty,6-10,230,Kentucky,USA,1996,1,19,208.28,,,,,
186,Marcus Camby,6-11,235,Massachusetts,USA,1996,1,2,210.82,,,,,
187,Zydrunas Ilgauskas,7-3,260,None,Lithuania,1996,1,20,220.98,,,,,
188,Efthimios Rentzias,6-11,250,None,Greece,1996,1,23,210.82,,,,,
189,Derek Fisher,6-1,210,Arkansas-Little Rock,USA,1996,1,24,185.42,,,,,
190,Jerome Williams,6-9,206,Georgetown,USA,1996,1,26,205.74,,,,,
191,Travis Knight,7-0,235,Connecticut,USA,1996,1,29,213.36,,,,,
192,Shareef Abdur-Rahim,6-9,230,California,USA,1996,1,3,205.74,,,,,
193,Othella Harrington,6-9,235,Georgetown,USA,1996,2,30,205.74,,,,,
194,Moochie Norris,6-1,175,West Florida,USA,1996,2,33,185.42,,,,,
195,Jeff McInnis,6-4,179,North Carolina,USA,1996,2,37,193.04,,,,,
196,Stephon Marbury,6-2,180,Georgia Tech,USA,1996,1,4,187.96,,,,,
197,Randy Livingston,6-4,209,Louisiana State,USA,1996,2,42,193.04,,,,,
198,Malik Rose,6-7,255,Drexel,USA,1996,2,44,200.66,,,,,
199,Amal McCaskill,6-11,245,Marquette,USA,1996,2,49,210.82,,,,,
200,Ray Allen,6-5,205,Connecticut,USA,1996,1,5,195.58,,,,,
201,Mark Pope,6-10,235,Kentucky,USA,1996,2,52,208.28,,,,,
202,Shandon Anderson,6-6,210,Georgia,USA,1996,2,54,198.12,,,,,
203,Antoine Walker,6-9,245,Kentucky,USA,1996,1,6,205.74,,,,,
204,Lorenzen Wright,6-11,240,Memphis,USA,1996,1,7,210.82,,,,,
205,Kerry Kittles,6-5,180,Villanova,USA,1996,1,8,195.58,,,,,
206,Samaki Walker,6-9,260,Louisville,USA,1996,1,9,205.74,,,,,
207,Tim Duncan,6-11,255,Wake Forest,US Virgin Isl...,1997,1,1,210.82,,,,,
208,Danny Fortson,6-8,260,Cincinnati,USA,1997,1,10,203.2,,,,,
209,Tariq Abdul-Wahad,6-6,223,San Jose State,France,1997,1,11,198.12,,,,,
210,Austin Croshere,6-10,242,Providence,USA,1997,1,12,208.28,,,,,
211,Derek Anderson,6-5,195,Kentucky,USA,1997,1,13,195.58,,,,,
212,Maurice Taylor,6-9,260,Michigan,USA,1997,1,14,205.74,,,,,
213,Kelvin Cato,6-11,255,Iowa State,USA,1997,1,15,210.82,,,,,
214,Brevin Knight,5-10,170,Stanford,USA,1997,1,16,177.8,,,,,
215,Scot Pollard,6-11,265,Kansas,USA,1997,1,19,210.82,,,,,
216,Keith Van Horn,6-10,255,Utah,USA,1997,1,2,208.28,,,,,
217,Paul Grant,7-0,245,Wisconsin,USA,1997,1,20,213.36,,,,,
218,Anthony Parker,6-6,210,Bradley,USA,1997,1,21,198.12,,,,,
219,Bobby Jackson,6-1,185,Minnesota,USA,1997,1,23,185.42,,,,,
220,John Thomas,6-9,265,Minnesota,USA,1997,1,25,205.74,,,,,
221,Charles Smith,6-4,194,New Mexico,USA,1997,1,26,193.04,,,,,
222,Jacque Vaughn,6-1,190,Kansas,USA,1997,1,27,185.42,,,,,
223,Chauncey Billups,6-3,210,Colorado,USA,1997,1,3,190.5,,,,,
224,Marc Jackson,6-10,270,Temple,USA,1997,2,37,208.28,,,,,
225,Anthony Johnson,6-3,190,College of Charleston,USA,1997,2,39,190.5,,,,,
226,Antonio Daniels,6-4,205,Bowling Green,USA,1997,1,4,193.04,,,,,
227,Stephen Jackson,6-8,220,Butler Community College,USA,1997,2,42,203.2,,,,,
228,Cedric Henderson,6-7,225,Memphis,USA,1997,2,44,200.66,,,,,
229,Alvin Williams,6-5,185,Villanova,USA,1997,2,47,195.58,,,,,
230,Predrag Drobnjak,6-11,272,None,Yugoslavia,1997,2,48,210.82,,,,,
231,Tony Battie,6-11,240,Texas Tech,USA,1997,1,5,210.82,,,,,
232,Chris Crawford,6-9,235,Marquette,USA,1997,2,50,205.74,,,,,
233,Mark Blount,7-0,250,Pittsburgh,USA,1997,2,54,213.36,,,,,
234,Ron Mercer,6-7,210,Kentucky,USA,1997,1,6,200.66,,,,,
235,Tim Thomas,6-10,240,Villanova,USA,1997,1,7,208.28,,,,,
236,Adonal Foyle,6-10,265,Colgate,St. Vincent &...,1997,1,8,208.28,,,,,
237,Tracy McGrady,6-8,225,None,USA,1997,1,9,203.2,,,,,
238,Michael Olowokandi,7-0,270,Pacific,Nigeria,1998,1,1,213.36,,,,,
239,Paul Pierce,6-7,235,Kansas,USA,1998,1,10,200.66,,,,,
240,Bonzi Wells,6-5,213,Ball State,USA,1998,1,11,195.58,,,,,
241,Michael Doleac,6-11,262,Utah,USA,1998,1,12,210.82,,,,,
242,Keon Clark,6-11,221,Nevada-Las Vegas,USA,1998,1,13,210.82,,,,,
243,Michael Dickerson,6-5,190,Arizona,USA,1998,1,14,195.58,,,,,
244,Matt Harpring,6-7,231,Georgia Tech,USA,1998,1,15,200.66,,,,,
245,Bryce Drew,6-3,184,Valparaiso,USA,1998,1,16,190.5,,,,,
246,Rasho Nesterovic,7-0,248,None,Slovenia,1998,1,17,213.36,,,,,
247,Pat Garrity,6-9,238,Notre Dame,USA,1998,1,19,205.74,,,,,
248,Mike Bibby,6-2,195,Arizona,USA,1998,1,2,187.96,,,,,
249,Ricky Davis,6-7,197,Iowa,USA,1998,1,21,200.66,,,,,
250,Brian Skinner,6-9,255,Baylor,USA,1998,1,22,205.74,,,,,
251,Tyronn Lue,6-0,178,Nebraska,USA,1998,1,23,182.88,,,,,
252,Felipe Lopez,6-5,195,St. John's (NY),Dominican Rep...,1998,1,24,195.58,,,,,
253,Al Harrington,6-9,250,None,USA,1998,1,25,205.74,,,,,
254,Vladimir Stepania,7-0,236,None,Georgia,1998,1,27,213.36,,,,,
255,Corey Benjamin,6-6,200,Oregon State,USA,1998,1,28,198.12,,,,,
256,Nazr Mohammed,6-10,250,Kentucky,USA,1998,1,29,208.28,,,,,
257,Raef LaFrentz,6-11,245,Kansas,USA,1998,1,3,210.82,,,,,
258,Ansu Sesay,6-9,225,Mississippi,USA,1998,2,30,205.74,,,,,
259,Ruben Patterson,6-5,224,Cincinnati,USA,1998,2,31,195.58,,,,,
260,Rashard Lewis,6-10,230,None,USA,1998,2,32,208.28,,,,,
261,Jelani McCoy,6-10,245,California-Los Angeles,USA,1998,2,33,208.28,,,,,
262,Shammond Williams,6-1,201,North Carolina,USA,1998,2,34,185.42,,,,,
263,Bruno Sundov,7-2,246,None,Croatia,1998,2,35,218.44,,,,,
264,Jerome James,7-1,272,Florida A&M,USA,1998,2,36,215.9,,,,,
265,Rafer Alston,6-2,171,Fresno State,USA,1998,2,39,187.96,,,,,
266,Antawn Jamison,6-9,235,North Carolina,USA,1998,1,4,205.74,,,,,
267,Cuttino Mobley,6-4,210,Rhode Island,USA,1998,2,41,193.04,,,,,
268,Jahidi White,6-9,290,Georgetown,USA,1998,2,43,205.74,,,,,
269,Sean Marks,6-10,250,California,New Zealand,1998,2,44,208.28,,,,,
270,Vince Carter,6-6,225,North Carolina,USA,1998,1,5,198.12,,,,,
271,Derrick Dial,6-4,184,Eastern Michigan,USA,1998,2,52,193.04,,,,,
272,Greg Buckner,6-4,210,Clemson,USA,1998,2,53,193.04,,,,,
273,Tremaine Fowlkes,6-8,220,Fresno State,USA,1998,2,54,203.2,,,,,
274,Ryan Bowen,6-9,227,Iowa,USA,1998,2,55,205.74,,,,,
275,Torraye Braggs,6-8,245,Xavier,USA,1998,2,57,203.2,,,,,
276,Maceo Baston,6-10,230,Michigan,USA,1998,2,58,208.28,,,,,
277,Robert Traylor,6-8,284,Michigan,USA,1998,1,6,203.2,,,,,
278,Jason Williams,6-1,190,Florida,USA,1998,1,7,185.42,,,,,
279,Larry Hughes,6-5,185,Saint Louis,USA,1998,1,8,195.58,,,,,
280,Dirk Nowitzki,7-0,245,None,Germany,1998,1,9,213.36,,,,,
281,Elton Brand,6-9,254,Duke,USA,1999,1,1,205.74,,,,,
282,Jason Terry,6-2,180,Arizona,USA,1999,1,10,187.96,,,,,
283,Trajan Langdon,6-3,197,Duke,USA,1999,1,11,190.5,,,,,
284,Aleksandar Radojevic,7-3,250,Barton County C.C.,USA,1999,1,12,220.98,,,,,
285,Corey Maggette,6-6,225,Duke,USA,1999,1,13,198.12,,,,,
286,Metta World Peace,6-7,260,St. John's (NY),USA,1999,1,16,200.66,,,,,
287,Cal Bowdler,6-10,253,Old Dominion,USA,1999,1,17,208.28,,,,,
288,James Posey,6-8,215,Xavier,USA,1999,1,18,203.2,,,,,
289,Quincy Lewis,6-7,215,Minnesota,USA,1999,1,19,200.66,,,,,
290,Steve Francis,6-3,195,Maryland,USA,1999,1,2,190.5,,,,,
291,Dion Glover,6-5,228,Georgia Tech,USA,1999,1,20,195.58,,,,,
292,Jeff Foster,6-11,250,S.W. Texas State,USA,1999,1,21,210.82,,,,,
293,Kenny Thomas,6-7,245,New Mexico,USA,1999,1,22,200.66,,,,,
294,Devean George,6-8,220,Augsburg,USA,1999,1,23,203.2,,,,,
295,Andrei Kirilenko,6-9,210,None,Russia,1999,1,24,205.74,,,,,
296,Vonteego Cummings,6-3,190,Pittsburgh,USA,1999,1,26,190.5,,,,,
297,Jumaine Jones,6-8,218,Georgia,USA,1999,1,27,203.2,,,,,
298,Scott Padgett,6-9,240,Kentucky,USA,1999,1,28,205.74,,,,,
299,Leon Smith,6-10,235,None,USA,1999,1,29,208.28,,,,,
300,Baron Davis,6-3,212,California-Los Angeles,USA,1999,1,3,190.5,,,,,
301,Michael Ruffin,6-8,248,Tulsa,USA,1999,2,32,203.2,,,,,
302,Chris Herren,6-2,190,Fresno State,USA,1999,2,33,187.96,,,,,
303,Evan Eschmeyer,6-11,255,Northwestern,USA,1999,2,34,210.82,,,,,
304,Calvin Booth,6-11,231,Penn State,USA,1999,2,35,210.82,,,,,
305,Wang Zhi-zhi,7-1,220,None,China,1999,2,36,215.9,,,,,
306,Obinna Ekezie,6-9,270,Maryland,Nigeria,1999,2,37,205.74,,,,,
307,Laron Profit,6-5,204,Maryland,USA,1999,2,38,195.58,,,,,
308,Lamar Odom,6-10,230,Rhode Island,USA,1999,1,4,208.28,,,,,
309,Gordan Giricek,6-6,220,None,Croatia,1999,2,40,198.12,,,,,
310,Francisco Elson,7-0,240,California,Netherlands,1999,2,41,213.36,,,,,
311,Lee Nailon,6-9,238,Texas Christian,USA,1999,2,43,205.74,,,,,
312,Todd MacCulloch,7-0,280,Washington,Canada,1999,2,47,213.36,,,,,
313,Jonathan Bender,7-0,219,None,USA,1999,1,5,213.36,,,,,
314,Rodney Buford,6-5,189,Creighton,USA,1999,2,53,195.58,,,,,
315,Manu Ginobili,6-6,205,None,Argentina,1999,2,57,198.12,,,,,
316,Wally Szczerbiak,6-7,244,Miami (OH),USA,1999,1,6,200.66,,,,,
317,Richard Hamilton,6-7,193,Connecticut,USA,1999,1,7,200.66,,,,,
318,Andre Miller,6-2,200,Utah,USA,1999,1,8,187.96,,,,,
319,Shawn Marion,6-7,228,Nevada-Las Vegas,USA,1999,1,9,200.66,,,,,
320,Guy Rucker,6-9,270,Iowa,USA,1999,,,205.74,,,,,
321,Kenyon Martin,6-9,240,Cincinnati,USA,2000,1,1,205.74,,,,,
322,Keyon Dooling,6-3,195,Missouri,USA,2000,1,10,190.5,,,,,
323,Jerome Moiso,6-10,232,California-Los Angeles,France,2000,1,11,208.28,,,,,
324,Etan Thomas,6-10,260,Syracuse,USA,2000,1,12,208.28,,,,,
325,Courtney Alexander,6-6,205,Fresno State,USA,2000,1,13,198.12,,,,,
326,Mateen Cleaves,6-2,205,Michigan State,USA,2000,1,14,187.96,,,,,
327,Jason Collier,7-0,260,Georgia Tech,USA,2000,1,15,213.36,,,,,
328,Hedo Turkoglu,6-10,220,None,Turkey,2000,1,16,208.28,,,,,
329,Desmond Mason,6-5,222,Oklahoma State,USA,2000,1,17,195.58,,,,,
330,Quentin Richardson,6-6,228,DePaul,USA,2000,1,18,198.12,,,,,
331,Jamaal Magloire,6-11,265,Kentucky,Canada,2000,1,19,210.82,,,,,
332,Stromile Swift,6-9,225,Louisiana State,USA,2000,1,2,205.74,,,,,
333,Speedy Claxton,5-11,166,Hofstra,USA,2000,1,20,180.34,-%,-,-,7' 10.5'',6' 0''
334,Morris Peterson,6-7,218,Michigan State,USA,2000,1,21,200.66,,,,,
335,Donnell Harvey,6-8,220,Florida,USA,2000,1,22,203.2,-%,-,-,8' 9.5'',7' 0.5''
336,DeShawn Stevenson,6-5,218,None,USA,2000,1,23,195.58,,,,,
337,Dalibor Bagaric,7-1,270,None,Croatia,2000,1,24,215.9,,,,,
338,Jake Tsakalidis,7-2,285,None,Greece,2000,1,25,218.44,,,,,
339,Mamadou N'diaye,7-0,255,Auburn,Senegal,2000,1,26,213.36,,,,,
340,Primoz Brezec,7-1,243,None,Slovenia,2000,1,27,215.9,-%,-,-,9' 2'',7' 2''
341,Erick Barkley,6-1,177,St. John's (NY),USA,2000,1,28,185.42,,,,,
342,Mark Madsen,6-9,236,Stanford,USA,2000,1,29,205.74,-%,-,-,8' 8.5'',7' 0.5''
343,Darius Miles,6-9,210,None,USA,2000,1,3,205.74,,,,,
344,Marko Jaric,6-7,224,None,Serbia,2000,2,30,200.66,-%,-,-,8' 8'',6' 9''
345,Dan Langhi,6-11,220,Vanderbilt,USA,2000,2,31,210.82,-%,-,-,8' 8'',6' 8''
346,A.J. Guyton,6-1,180,Indiana,USA,2000,2,32,185.42,-%,-,-,8' 1.5'',6' 3.75''
347,Jake Voskuhl,6-11,245,Connecticut,USA,2000,2,33,210.82,,,,,
348,Mike Smith,6-8,195,Louisiana-Monroe,USA,2000,2,35,203.2,-%,-,-,8' 7'',6' 8.5''
349,Soumaila Samake,6-10,240,None,Mali,2000,2,36,208.28,,,,,
350,Eddie House,6-1,180,Arizona State,USA,2000,2,37,185.42,-%,-,-,7' 11'',6' 3.5''
351,Eduardo Najera,6-8,235,Oklahoma,Mexico,2000,2,38,203.2,-%,-,-,8' 8.5'',6' 11.5''
352,Lavor Postell,6-5,215,St. John's (NY),USA,2000,2,39,195.58,-%,-,-,8' 5.5'',6' 8.5''
353,Marcus Fizer,6-9,262,Iowa State,USA,2000,1,4,205.74,,,,,
354,Hanno Mottola,6-11,247,Utah,Finland,2000,2,40,210.82,,,,,
355,Olumide Oyedeji,6-10,255,None,Nigeria,2000,2,42,208.28,,,,,
356,Michael Redd,6-6,215,Ohio State,USA,2000,2,43,198.12,-%,-,-,8' 6'',6' 9''
357,Brian Cardinal,6-8,240,Purdue,USA,2000,2,44,203.2,,,,,
358,Jabari Smith,6-11,250,Louisiana State,USA,2000,2,45,210.82,-%,-,-,9' 1.5'',7' 2.5''
359,Jason Hart,6-2,181,Syracuse,USA,2000,2,49,187.96,-%,-,-,8' 1.5'',6' 6''
360,Mike Miller,6-8,210,Florida,USA,2000,1,5,203.2,,,,,
361,Kaniel Dickens,6-8,215,Idaho,USA,2000,2,50,203.2,,,,,
362,Igor Rakocevic,6-2,184,None,Serbia and Mo...,2000,2,51,187.96,-%,-,-,8' 4'',6' 5.25''
363,Ernest Brown,7-0,244,Indian Hills Community College,USA,2000,2,52,213.36,-%,-,-,9' 1.5'',7' 1.25''
364,Dan McClintock,7-0,270,Northern Arizona,USA,2000,2,53,213.36,-%,-,-,8' 11'',7' 1.5''
365,Chris Porter,6-7,218,Auburn,,2000,2,55,200.66,-%,-,-,8' 7.5'',6' 9.5''
366,DerMarr Johnson,6-9,201,Cincinnati,USA,2000,1,6,205.74,,,,,
367,Chris Mihm,7-0,265,Texas,USA,2000,1,7,213.36,,,,,
368,Jamal Crawford,6-5,200,Michigan,USA,2000,1,8,195.58,-%,-,-,8' 6.5'',6' 10''
369,Joel Przybilla,7-1,245,Minnesota,USA,2000,1,9,215.9,,,,,
370,Kwame Brown,6-11,270,None,USA,2001,1,1,210.82,8.90%,-,-,9' 0'',7' 1''
371,Joe Johnson,6-7,240,Arkansas,USA,2001,1,10,200.66,6.70%,-,-,8' 9'',6' 9''
372,Kedrick Brown,6-7,222,Northwest Florida State,USA,2001,1,11,200.66,,,,,
373,Vladimir Radmanovic,6-10,234,None,Serbia,2001,1,12,208.28,,,,,
374,Richard Jefferson,6-7,230,Arizona,USA,2001,1,13,200.66,6.70%,-,-,8' 7'',7' 0''
375,Troy Murphy,6-11,245,Notre Dame,USA,2001,1,14,210.82,11.70%,-,-,8' 9.5'',6' 11''
376,Steven Hunter,6-10,224,DePaul,USA,2001,1,15,208.28,5.30%,-,-,9' 0'',7' 4''
377,Kirk Haston,6-9,242,Indiana,USA,2001,1,16,205.74,10.50%,-,-,8' 10'',7' 0.25''
378,Michael Bradley,6-9,227,Villanova,USA,2001,1,17,205.74,9.30%,-,-,8' 11'',7' 1.5''
379,Jason Collins,7-0,255,Stanford,USA,2001,1,18,213.36,12.90%,-,-,9' 2'',7' 4.5''
380,Zach Randolph,6-9,270,Michigan State,USA,2001,1,19,205.74,,,,,
381,Tyson Chandler,7-1,235,None,USA,2001,1,2,215.9,6.70%,-,-,9' 2'',7' 3''
382,Brendan Haywood,7-0,263,North Carolina,USA,2001,1,20,213.36,12.90%,-,-,9' 5.5'',7' 6.5''
383,Joseph Forte,6-4,194,North Carolina,USA,2001,1,21,193.04,-%,-,-,8' 4.5'',6' 6.5''
384,Jeryl Sasser,6-6,200,Southern Methodist,USA,2001,1,22,198.12,6.70%,-,-,8' 7.5'',6' 10.5''
385,Brandon Armstrong,6-5,188,Pepperdine,USA,2001,1,23,195.58,9.30%,-,-,8' 3.5'',6' 9.5''
386,Raul Lopez,6-0,160,None,Spain,2001,1,24,182.88,,,,,
387,Gerald Wallace,6-7,220,Alabama,USA,2001,1,25,200.66,,,,,
388,Samuel Dalembert,6-11,250,Seton Hall,Haiti,2001,1,26,210.82,,,,,
389,Jamaal Tinsley,6-3,197,Iowa State,USA,2001,1,27,190.5,13.60%,-,-,8' 1.5'',6' 7.5''
390,Tony Parker,6-2,185,None,France,2001,1,28,187.96,,,,,
391,Trenton Hassell,6-5,200,Austin Peay,USA,2001,2,29,195.58,5.30%,-,-,8' 3.5'',6' 8''
392,Pau Gasol,7-0,250,None,Spain,2001,1,3,213.36,,,,,
393,Gilbert Arenas,6-4,215,Arizona,USA,2001,2,30,193.04,5.30%,-,-,8' 3.5'',6' 9.5''
394,Omar Cook,6-1,190,St. John's (NY),USA,2001,2,31,185.42,5.50%,-,-,7' 8'',6' 5.5''
395,Will Solomon,6-1,185,Clemson,USA,2001,2,32,185.42,4.00%,-,-,8' 3.5'',6' 9.5''
396,Terence Morris,6-9,221,Maryland,USA,2001,2,33,205.74,,,,,
397,Brian Scalabrine,6-9,235,Southern California,USA,2001,2,34,205.74,13.60%,-,-,8' 9.5'',6' 9.75''
398,Jeff Trepagnier,6-4,200,Southern California,USA,2001,2,35,193.04,,,,,
399,Damone Brown,6-8,202,Syracuse,USA,2001,2,36,203.2,6.70%,-,-,8' 8.5'',6' 11.75''
400,Mehmet Okur,6-11,260,None,Turkey,2001,2,37,210.82,,,,,
401,Earl Watson,6-1,199,California-Los Angeles,USA,2001,2,39,185.42,4.00%,-,-,8' 1'',6' 6.75''
402,Eddy Curry,7-0,295,None,USA,2001,1,4,213.36,16.50%,-,-,9' 3'',7' 6.5''
403,Jamison Brewer,6-2,178,Auburn,USA,2001,2,40,187.96,6.70%,-,-,8' 6.5'',6' 8.75''
404,Bobby Simmons,6-6,235,DePaul,USA,2001,2,41,198.12,6.70%,-,-,8' 9'',7' 0.25''
405,Sean Lampley,6-7,227,California,USA,2001,2,44,200.66,8.00%,-,-,8' 5'',6' 9.25''
406,Loren Woods,7-1,246,Arizona,USA,2001,2,45,215.9,9.30%,-,-,9' 5'',7' 5.5''
407,Antonis Fotsis,6-10,219,None,,2001,2,47,208.28,,,,8' 10'',6' 8.5''
408,Ken Johnson,6-10,240,Ohio State,USA,2001,2,48,208.28,9.90%,-,-,9' 1.5'',7' 4''
409,Ruben Boumtje-Boumtje,7-0,245,Georgetown,USA,2001,2,49,213.36,6.00%,-,-,9' 3'',7' 4''
410,Jason Richardson,6-6,225,Michigan State,USA,2001,1,5,198.12,5.30%,-,-,8' 6.5'',6' 11.5''
411,Alton Ford,6-9,275,Houston,USA,2001,2,50,205.74,8.00%,-,-,8' 6.5'',6' 10.5''
412,Jarron Collins,6-11,252,Stanford,USA,2001,2,52,210.82,15.20%,-,-,8' 8'',7' 3''
413,Kenny Satterfield,6-1,176,Cincinnati,USA,2001,2,53,185.42,6.70%,-,-,8' 2'',6' 4.5''
414,Alvin Jones,6-11,265,Georgia Tech,USA,2001,2,56,210.82,,,,,
415,Shane Battier,6-8,225,Duke,USA,2001,1,6,203.2,9.30%,-,-,8' 9'',6' 10.5''
416,Eddie Griffin,6-10,220,Seton Hall,USA,2001,1,7,208.28,4.00%,-,-,9' 2'',7' 3''
417,DeSagana Diop,7-0,280,None,Senegal,2001,1,8,213.36,21.00%,-,-,9' 5'',7' 6.5''
418,Rodney White,6-9,238,North Carolina-Charlotte,USA,2001,1,9,205.74,9.30%,-,-,8' 8.5'',6' 11.5''
419,Yao Ming,7-6,310,None,China,2002,1,1,228.6,,,,,
420,Caron Butler,6-7,228,Connecticut,USA,2002,1,10,200.66,-%,-,-,8' 7.5'',6' 11.5''
421,Jared Jeffries,6-11,240,Indiana,USA,2002,1,11,210.82,-%,-,-,9' 1'',7' 0.5''
422,Melvin Ely,6-10,261,Fresno State,USA,2002,1,12,208.28,-%,-,-,9' 3'',7' 4''
423,Marcus Haislip,6-10,230,Tennessee,USA,2002,1,13,208.28,-%,-,-,8' 11'',7' 0''
424,Fred Jones,6-2,225,Oregon,USA,2002,1,14,187.96,-%,-,-,8' 4'',7' 0''
425,Bostjan Nachbar,6-9,221,None,Slovenia,2002,1,15,205.74,,,,,
426,Jiri Welsch,6-7,208,None,Czech Republi...,2002,1,16,200.66,,,,,
427,Juan Dixon,6-3,165,Maryland,USA,2002,1,17,190.5,,,,,
428,Curtis Borchardt,7-0,240,Stanford,USA,2002,1,18,213.36,-%,-,-,9' 4'',7' 2.5''
429,Ryan Humphrey,6-8,235,Notre Dame,USA,2002,1,19,203.2,-%,-,-,8' 8.5'',7' 0''
430,Jay Williams,6-2,195,Duke,USA,2002,1,2,187.96,-%,-,-,8' 1'',6' 3.5''
431,Kareem Rush,6-6,215,Missouri,USA,2002,1,20,198.12,-%,-,-,8' 7.5'',6' 9.75''
432,Qyntel Woods,6-8,221,Northeast Mississippi Community College,USA,2002,1,21,203.2,-%,-,-,8' 9'',6' 10''
433,Casey Jacobsen,6-6,215,Stanford,USA,2002,1,22,198.12,,,,,
434,Tayshaun Prince,6-9,215,Kentucky,USA,2002,1,23,205.74,,,,,
435,Nenad Krstic,7-0,240,None,Serbia and Mo...,2002,1,24,213.36,,,,,
436,Frank Williams,6-3,205,Illinois,USA,2002,1,25,190.5,-%,-,-,8' 4.5'',6' 8''
437,John Salmons,6-6,207,Miami (FL),USA,2002,1,26,198.12,-%,-,-,8' 8'',6' 10.25''
438,Chris Jefferies,6-8,215,Fresno State,USA,2002,1,27,203.2,,,,,
439,Dan Dickau,6-0,180,Gonzaga,USA,2002,1,28,182.88,,,,,
440,Mike Dunleavy,6-9,230,Duke,USA,2002,1,3,205.74,-%,-,-,8' 10'',6' 9''
