"X","Unnamed..0","Player","Height","Weight","College","Country","Draft_Year","Draft_Round","Draft_Number","Height_cm","Body_fat","Hand_length","Hand_width","Standing_reach","Wingspan","Wingspan_cm","Standing_reach_cm","period","Nationality"
74,74,"Victor Alexander","6-10",265,"Iowa State","USA",1991,1,"17",208.28,"","","","",NA,NA,NA,"before 2002","US player"
75,75,"Kenny Anderson","6-1",168,"Georgia Tech","USA",1991,1,"2",185.42,"","","","",NA,NA,NA,"before 2002","US player"
76,76,"Rick Fox","6-7",242,"North Carolina","Canada",1991,1,"24",200.66,"","","","",NA,NA,NA,"before 2002","Foreign player"
77,77,"Randy Brown","6-2",190,"New Mexico State","USA",1991,2,"31",187.96,"","","","",NA,NA,NA,"before 2002","US player"
78,78,"Dikembe Mutombo","7-2",265,"Georgetown","Congo",1991,1,"4",218.44,"","","","",NA,NA,NA,"before 2002","Foreign player"
79,79,"Doug Overton","6-3",190,"La Salle","USA",1991,2,"40",190.5,"","","","",NA,NA,NA,"before 2002","US player"
80,80,"Ike Austin","6-10",288,"Arizona State","USA",1991,2,"48",208.28,"","","","",NA,NA,NA,"before 2002","US player"
81,81,"Steven Smith","6-8",221,"Michigan State","USA",1991,1,"5",203.2,"","","","",NA,NA,NA,"before 2002","US player"
82,82,"Zan Tabak","7-0",257,"None","USA",1991,2,"51",213.36,"","","","",NA,NA,NA,"before 2002","US player"
83,83,"Stacey Augmon","6-8",213,"Nevada-Las Vegas","USA",1991,1,"9",203.2,"","","","",NA,NA,NA,"before 2002","US player"
84,84,"Shaquille O'Neal","7-1",315,"Louisiana State","USA",1992,1,"1",215.9,"","","","",NA,NA,NA,"before 2002","US player"
85,85,"Adam Keefe","6-9",230,"Stanford","USA",1992,1,"10",205.74,"","","","",NA,NA,NA,"before 2002","US player"
86,86,"Robert Horry","6-10",235,"Alabama","USA",1992,1,"11",208.28,"","","","",NA,NA,NA,"before 2002","US player"
87,87,"Bryant Stith","6-5",210,"Virginia","USA",1992,1,"13",195.58,"","","","",NA,NA,NA,"before 2002","US player"
88,88,"Anthony Peeler","6-4",208,"Missouri","USA",1992,1,"15",193.04,"","","","",NA,NA,NA,"before 2002","US player"
89,89,"Doug Christie","6-6",205,"Pepperdine","USA",1992,1,"17",198.12,"","","","",NA,NA,NA,"before 2002","US player"
90,90,"Tracy Murray","6-7",228,"California-Los Angeles","USA",1992,1,"18",200.66,"","","","",NA,NA,NA,"before 2002","US player"
91,91,"Alonzo Mourning","6-10",261,"Georgetown","USA",1992,1,"2",208.28,"","","","",NA,NA,NA,"before 2002","US player"
92,92,"Hubert Davis","6-5",183,"North Carolina","USA",1992,1,"20",195.58,"","","","",NA,NA,NA,"before 2002","US player"
93,93,"Jon Barry","6-5",210,"Georgia Tech","USA",1992,1,"21",195.58,"","","","",NA,NA,NA,"before 2002","US player"
94,94,"Oliver Miller","6-9",315,"Arkansas","USA",1992,1,"22",205.74,"","","","",NA,NA,NA,"before 2002","US player"
95,95,"Latrell Sprewell","6-5",195,"Alabama","USA",1992,1,"24",195.58,"","","","",NA,NA,NA,"before 2002","US player"
96,96,"P.J. Brown","6-11",239,"Louisiana Tech","USA",1992,2,"29",210.82,"","","","",NA,NA,NA,"before 2002","US player"
97,97,"Christian Laettner","6-11",245,"Duke","USA",1992,1,"3",210.82,"","","","",NA,NA,NA,"before 2002","US player"
98,98,"Sean Rooks","6-10",260,"Arizona","USA",1992,2,"30",208.28,"","","","",NA,NA,NA,"before 2002","US player"
99,99,"Brent Price","6-1",185,"Oklahoma","USA",1992,2,"32",185.42,"","","","",NA,NA,NA,"before 2002","US player"
100,100,"Jim Jackson","6-6",220,"Ohio State","USA",1992,1,"4",198.12,"","","","",NA,NA,NA,"before 2002","US player"
101,101,"Popeye Jones","6-8",250,"Murray State","USA",1992,2,"41",203.2,"","","","",NA,NA,NA,"before 2002","US player"
102,102,"LaPhonso Ellis","6-8",240,"Notre Dame","USA",1992,1,"5",203.2,"","","","",NA,NA,NA,"before 2002","US player"
103,103,"Tom Gugliotta","6-10",240,"North Carolina State","USA",1992,1,"6",208.28,"","","","",NA,NA,NA,"before 2002","US player"
104,104,"Walt Williams","6-8",230,"Maryland","USA",1992,1,"7",203.2,"","","","",NA,NA,NA,"before 2002","US player"
105,105,"Clar. Weatherspoon","6-7",270,"Southern Mississippi","USA",1992,1,"9",200.66,"","","","",NA,NA,NA,"before 2002","US player"
106,106,"Chris Webber","6-10",245,"Michigan","USA",1993,1,"1",208.28,"","","","",NA,NA,NA,"before 2002","US player"
107,107,"Lindsey Hunter","6-2",195,"Jackson State","USA",1993,1,"10",187.96,"","","","",NA,NA,NA,"before 2002","US player"
108,108,"Allan Houston","6-6",200,"Tennessee","USA",1993,1,"11",198.12,"","","","",NA,NA,NA,"before 2002","US player"
109,109,"George Lynch","6-8",228,"North Carolina","USA",1993,1,"12",203.2,"","","","",NA,NA,NA,"before 2002","US player"
110,110,"Shawn Bradley","7-6",265,"Brigham Young","USA",1993,1,"2",228.6,"","","","",NA,NA,NA,"before 2002","US player"
111,111,"Scott Burrell","6-7",218,"Connecticut","USA",1993,1,"20",200.66,"","","","",NA,NA,NA,"before 2002","US player"
112,112,"Chris Mills","6-7",220,"Arizona","USA",1993,1,"22",200.66,"","","","",NA,NA,NA,"before 2002","US player"
113,113,"Ervin Johnson","6-11",255,"New Orleans","USA",1993,1,"23",210.82,"","","","",NA,NA,NA,"before 2002","US player"
114,114,"Sam Cassell","6-3",185,"Florida State","USA",1993,1,"24",190.5,"","","","",NA,NA,NA,"before 2002","US player"
115,115,"Corie Blount","6-10",242,"Cincinnati","USA",1993,1,"25",208.28,"","","","",NA,NA,NA,"before 2002","US player"
116,116,"Lucious Harris","6-5",205,"Long Beach State","USA",1993,2,"28",195.58,"","","","",NA,NA,NA,"before 2002","US player"
