,PLAYER,TEAM,PER,RK,Height_cm,Weight
137,Jayson Tatum,BOS,15.13,138.0,203.2,208.0
138,Mo Bamba,ORL,14.92,139.0,213.36,221.0
139,Caris LeVert,BKN,14.92,,200.66,204.0
140,Derrick White,SA,14.85,141.0,193.04,190.0
141,Luke Kornet,NY,14.78,142.0,215.9,250.0
142,JaMychal Green,LAC,14.75,143.0,205.74,227.0
143,Emmanuel Mudiay,NY,14.62,144.0,195.58,200.0
144,Brook Lopez,MIL,14.59,145.0,213.36,270.0
145,Bismack Biyombo,CHA,14.43,146.0,205.74,255.0
146,Harry Giles III,SAC,14.42,147.0,208.28,240.0
147,Kelly Olynyk,MIA,14.4,148.0,213.36,240.0
148,Marcus Morris Sr.,BOS,14.28,149.0,205.74,235.0
149,Malik Beasley,DEN,14.21,150.0,195.58,195.0
150,Tomas Satoransky,WSH,14.14,151.0,200.66,210.0
151,Bogdan Bogdanovic,SAC,14.12,152.0,198.12,205.0
152,Derrick Jones Jr.,MIA,14.07,153.0,200.66,200.0
153,Aron Baynes,BOS,14.06,154.0,208.28,260.0
154,Kyle Kuzma,LAL,14.05,155.0,205.74,220.0
155,Elfrid Payton,NO,14.02,156.0,193.04,185.0
156,Ricky Rubio,UTAH,14.01,157.0,193.04,190.0
157,Josh Richardson,MIA,14.01,,198.12,200.0
158,Goran Dragic,MIA,13.99,159.0,190.5,190.0
159,Noah Vonleh,NY,13.94,160.0,205.74,250.0
160,Alex Caruso,LAL,13.9,161.0,195.58,186.0
161,Jerami Grant,OKC,13.87,162.0,205.74,220.0
162,Fred VanVleet,TOR,13.73,163.0,182.88,195.0
163,Tyus Jones,MIN,13.7,164.0,187.96,196.0
164,Zaza Pachulia,DET,13.69,165.0,210.82,270.0
165,Tim Hardaway Jr.,DAL,13.66,166.0,198.12,205.0
166,Jeff Green,WSH,13.66,,205.74,235.0
167,Pat Connaughton,MIL,13.6,168.0,193.04,209.0
168,Jeremy Lin,ATL,13.58,169.0,190.5,200.0
169,Jaylen Brown,BOS,13.58,,200.66,220.0
170,Joe Harris,BKN,13.56,171.0,198.12,218.0
171,Zach Collins,POR,13.56,,213.36,235.0
172,Jake Layman,POR,13.52,173.0,205.74,215.0
173,Jonas Jerebko,GS,13.49,174.0,208.28,231.0
174,Brandon Ingram,LAL,13.48,175.0,205.74,190.0
175,Joe Ingles,UTAH,13.46,176.0,203.2,226.0
176,Shai Gilgeous-Alexander,LAC,13.45,177.0,198.12,181.0
177,T.J. McConnell,PHI,13.41,178.0,187.96,190.0
178,Cristiano Felicio,CHI,13.39,179.0,208.28,265.0
179,Sam Dekker,CLE,13.38,180.0,205.74,230.0
180,Michael Kidd-Gilchrist,CHA,13.37,181.0,200.66,232.0
181,Robert Covington,MIN,13.36,182.0,205.74,225.0
182,Norman Powell,TOR,13.35,183.0,193.04,215.0
183,Maurice Harkless,POR,13.25,184.0,205.74,220.0
184,Patty Mills,SA,13.19,185.0,182.88,180.0
185,Al-Farouq Aminu,POR,13.18,186.0,205.74,220.0
186,Quinn Cook,GS,13.13,187.0,187.96,179.0
187,Miles Bridges,CHA,13.13,,200.66,225.0
188,Dario Saric,MIN,13.12,189.0,208.28,223.0
189,Andre Iguodala,GS,13.12,,198.12,215.0
190,Maxi Kleber,DAL,13.12,,210.82,240.0
191,Amir Johnson,PHI,13.12,,205.74,240.0
192,Marcus Smart,BOS,13.12,,193.04,220.0
193,Georges Niang,UTAH,13.06,194.0,203.2,230.0
194,Danny Green,TOR,13.02,195.0,198.12,215.0
195,Jonathan Isaac,ORL,13.02,,208.28,210.0
196,Davis Bertans,SA,13.0,197.0,208.28,225.0
197,Kentavious Caldwell-Pope,LAL,12.96,198.0,195.58,205.0
198,Terry Rozier,BOS,12.95,199.0,185.42000000000002,190.0
199,Jordan Bell,GS,12.94,200.0,205.74,224.0
200,Draymond Green,GS,12.88,201.0,200.66,230.0
201,Justise Winslow,MIA,12.83,202.0,200.66,225.0
202,Harrison Barnes,DAL,12.81,203.0,203.2,225.0
203,Jalen Brunson,DAL,12.8,204.0,190.5,190.0
204,Marcin Gortat,LAC,12.8,,210.82,240.0
205,Kyle Anderson,MEM,12.79,206.0,205.74,230.0
206,Dennis Schroder,OKC,12.76,207.0,185.42000000000002,172.0
207,Jonah Bolden,PHI,12.75,208.0,208.28,220.0
208,Trey Lyles,DEN,12.72,209.0,208.28,234.0
209,Yogi Ferrell,SAC,12.7,210.0,182.88,180.0
210,Alec Burks,CLE,12.69,211.0,198.12,214.0
211,Marvin Williams,CHA,12.66,212.0,205.74,237.0
212,David Nwaba,CLE,12.51,213.0,193.04,219.0
213,Rondae Hollis-Jefferson,BKN,12.5,214.0,200.66,217.0
214,Tyler Johnson,MIA,12.47,215.0,193.04,190.0
215,Kris Dunn,CHI,12.47,,193.04,205.0
216,Andrew Wiggins,MIN,12.42,217.0,203.2,194.0
217,Omari Spellman,ATL,12.42,,205.74,245.0
218,Bruno Caboclo,MEM,12.41,219.0,205.74,218.0
219,Shaquille Harrison,CHI,12.38,220.0,193.04,190.0
220,Dennis Smith Jr.,DAL,12.34,221.0,190.5,195.0
221,Kosta Koufos,SAC,12.33,222.0,213.36,245.0
222,Evan Fournier,ORL,12.32,223.0,200.66,205.0
223,Rodney Hood,CLE,12.3,224.0,203.2,206.0
224,Eric Gordon,HOU,12.25,225.0,193.04,215.0
225,Gary Harris,DEN,12.24,226.0,193.04,210.0
226,Danuel House Jr.,HOU,12.23,227.0,200.66,220.0
227,Allonzo Trier,NY,12.19,228.0,195.58,200.0
228,Jae Crowder,UTAH,12.16,229.0,198.12,235.0
229,George Hill,CLE,12.14,230.0,190.5,188.0
230,Rajon Rondo,LAL,12.11,231.0,185.42000000000002,186.0
231,Collin Sexton,CLE,12.1,232.0,187.96,190.0
232,Thabo Sefolosha,UTAH,12.09,233.0,200.66,220.0
233,DeMarre Carroll,BKN,12.09,,203.2,215.0
234,Trevor Ariza,PHX,12.08,235.0,203.2,215.0
235,Bryn Forbes,SA,12.05,236.0,190.5,190.0
236,Taurean Prince,ATL,11.99,237.0,203.2,220.0
237,Aaron Holiday,IND,11.99,,185.42000000000002,185.0
238,Luke Kennard,DET,11.99,,195.58,206.0
239,Marco Belinelli,SA,11.97,240.0,195.58,210.0
240,Kent Bazemore,ATL,11.93,241.0,195.58,201.0
241,Nene ,HOU,11.9,242.0,210.82,
242,Nicolas Batum,CHA,11.87,243.0,203.2,200.0
243,Malik Monk,CHA,11.87,,190.5,200.0
