Player,Height_cm
Emeka Okafor,208.28
Jameer Nelson,182.88
Pavel Podkolzin,226.06
Viktor Khryapa,205.74
Sergei Monia,203.2
Delonte West,190.5
Tony Allen,193.04
Kevin Martin,200.66
Sasha Vujacic,200.66
Beno Udrih,190.5
David Harrison,213.36
Ben Gordon,190.5
Anderson Varejao,210.82
Jackson Vroman,208.28
Peter John Ramos,220.98
Lionel Chalmers,182.88
Donta Smith,200.66
Andre Emmett,195.58
Antonio Burks,182.88
Royal Ivey,193.04
Chris Duhon,185.42
Shaun Livingston,200.66
Justin Reed,203.2
Trevor Ariza,203.2
Bernard Robinson,198.12
Ha Ha,220.98
Pape Sow,208.28
Devin Harris,190.5
Vassilis Spanoulis,193.04
Matt Freije,208.28
Luis Flores,187.96
Josh Childress,203.2
Luol Deng,205.74
Rafael Araujo,210.82
Andre Iguodala,198.12
Andrew Bogut,213.36
Andrew Bynum,213.36
Yaroslav Korolev,205.74
Sean May,205.74
Rashad McCants,193.04
Antoine Wright,200.66
Joey Graham,200.66
Danny Granger,203.2
Gerald Green,203.2
Hakim Warrick,205.74
Marvin Williams,205.74
Julius Hodge,200.66
Nate Robinson,175.26
Jarrett Jack,190.5
Francisco Garcia,200.66
Luther Head,190.5
Johan Petro,213.36
Jason Maxiell,200.66
Linas Kleiza,203.2
Ian Mahinmi,210.82
Wayne Simien,205.74
Deron Williams,190.5
David Lee,205.74
Salim Stoudamire,185.42
Daniel Ewing,190.5
Brandon Bass,203.2
CJ Miles,198.12
Ersan Ilyasova,208.28
Ronny Turiaf,208.28
Travis Diener,185.42
Von Wafer,195.58
Chris Paul,182.88
Monta Ellis,190.5
Roko Ukic,195.58
Chris Taft,208.28
Mile Ilic,215.9
Martynas Andriuskevicius,218.44
Lou Williams,185.42
Bracey Wright,190.5
Mickael Gelabale,200.66
Andray Blatche,210.82
Raymond Felton,185.42
Ryan Gomes,200.66
Robert Whaley,208.28
Orien Greene,193.04
Dijon Thompson,200.66
Lawrence Roberts,205.74
Amir Johnson,205.74
Marcin Gortat,210.82
Uros Slokar,208.28
Martell Webster,200.66
Alex Acker,195.58
Charlie Villanueva,210.82
Channing Frye,210.82
Ike Diogu,205.74
Andrea Bargnani,213.36
Mouhamed Sene,210.82
JJ Redick,193.04
Hilton Armstrong,210.82
Thabo Sefolosha,200.66
Ronnie Brewer,200.66
Cedric Simmons,205.74
Rodney Carney,200.66
Shawne Williams,205.74
Oleksiy Pecherov,213.36
Quincy Douby,190.5
LaMarcus Aldridge,210.82
Renaldo Balkman,203.2
Rajon Rondo,185.42
Marcus Williams,190.5
Josh Boone,208.28
Kyle Lowry,182.88
Shannon Brown,193.04
Jordan Farmar,187.96
Sergio Rodriguez,190.5
Maurice Ager,195.58
Mardy Collins,198.12
Adam Morrison,203.2
Joel Freeland,208.28
James White,200.66
Steve Novak,208.28
Solomon Jones,208.28
Paul Davis,210.82
P.J. Tucker,198.12
Craig Smith,200.66
Bobby Jones,200.66
Kosta Perovic,218.44
David Noel,198.12
Tyrus Thomas,208.28
James Augustine,208.28
Daniel Gibson,187.96
Marcus Vinicius,203.2
Alexander Johnson,205.74
Dee Brown,182.88
Paul Millsap,203.2
Leon Powe,203.2
Shelden Williams,205.74
Ryan Hollins,213.36
Cheikh Samb,215.9
Guillermo Diaz,187.96
Hassan Adams,193.04
Damir Markota,208.28
Brandon Roy,198.12
Will Blalock,182.88
Randy Foye,193.04
Rudy Gay,203.2
Patrick O'Bryant,213.36
Greg Oden,213.36
Spencer Hawes,215.9
Acie Law,190.5
Thaddeus Young,203.2
Julian Wright,203.2
Al Thornton,203.2
Rodney Stuckey,195.58
Nick Young,200.66
Sean Williams,208.28
Marco Belinelli,195.58
Javaris Crittenton,195.58
Kevin Durant,205.74
Jason Smith,213.36
Daequan Cook,195.58
Jared Dudley,200.66
Wilson Chandler,203.2
Rudy Fernandez,198.12
Morris Almond,198.12
Aaron Brooks,182.88
Arron Afflalo,195.58
Tiago Splitter,210.82
Alando Tucker,198.12
Al Horford,208.28
Carl Landry,205.74
Gabe Pruitt,193.04
Marcus Williams,200.66
Nick Fazekas,210.82
Glen Davis,205.74
Jermareo Davidson,208.28
Josh McRoberts,208.28
Kyrylo Fesenko,215.9
Mike Conley,185.42
Sun Sun,205.74
Chris Richard,205.74
Derrick Byars,200.66
Stephane Lasme,203.2
Dominic McGuire,205.74
Marc Gasol,215.9
Aaron Gray,213.36
Jeff Green,205.74
JamesOn Curry,190.5
Taurean Green,182.88
Demetris Nichols,203.2
Ramon Sessions,190.5
DJ Strawberry,195.58
Yi Jianlian,213.36
Corey Brewer,205.74
Brandan Wright,208.28
Joakim Noah,210.82
Derrick Rose,190.5
Brook Lopez,213.36
Jerryd Bayless,190.5
Jason Thompson,210.82
Brandon Rush,198.12
Anthony Randolph,210.82
Robin Lopez,213.36
Marreese Speights,208.28
Roy Hibbert,218.44
JaVale McGee,213.36
JJ Hickson,205.74
Michael Beasley,208.28
Alexis Ajinca,213.36
Ryan Anderson,208.28
Courtney Lee,195.58
Kosta Koufos,213.36
Serge Ibaka,208.28
Nicolas Batum,203.2
George Hill,187.96
Darrell Arthur,205.74
Donte Greene,210.82
DJ White,205.74
O.J. Mayo,193.04
J.R. Giddens,195.58
Nikola Pekovic,210.82
Walter Sharpe,205.74
Joey Dorsey,203.2
Mario Chalmers,187.96
DeAndre Jordan,210.82
Omer Asik,213.36
Luc Mbah a Moute,203.2
Kyle Weaver,198.12
Sonny Weems,198.12
Russell Westbrook,190.5
Chris Douglas-Roberts,200.66
Nathan Jawai,208.28
Sean Singletary,182.88
Patrick Ewing,203.2
Goran Dragic,190.5
Henry Walker,198.12
Malik Hairston,198.12
Kevin Love,208.28
Darnell Jackson,205.74
Mike Taylor,187.96
Sasha Kaun,210.82
Joe Crawford,195.58
Danilo Gallinari,208.28
Semih Erden,213.36
Eric Gordon,190.5
Joe Alexander,203.2
D.J. Augustin,182.88
Blake Griffin,208.28
Brandon Jennings,185.42
Terrence Williams,198.12
Gerald Henderson,195.58
Tyler Hansbrough,205.74
Earl Clark,208.28
Austin Daye,210.82
James Johnson,205.74
Jrue Holiday,193.04
Ty Lawson,180.34
